term,cur,prev,diff,total,ma7,z_like
lcd,27,1,26,53,4.571,7.147
lg디스플레이,25,3,22,126,4.571,6.51
삼성전자,18,18,0,413,16.571,0.282
한미반도체,15,0,15,19,2.429,4.914
아이폰,9,0,9,69,3.286,2.032
애플,7,4,3,174,5.429,0.472
tv,5,3,2,388,7.286,-0.618
모니터,4,1,3,85,1.857,0.907
tcl,4,0,4,118,2.0,0.828
노트북,4,1,3,131,2.714,0.486
엔비디아,4,2,2,63,3.0,0.366
oled,4,6,-2,308,4.429,-0.138
맥북,3,0,3,18,1.0,1.0
lg전자,3,6,-3,286,7.429,-1.189
삼성디스플레이,2,0,2,57,0.286,1.117
메타,2,0,2,26,0.429,0.95
asus,2,0,2,18,0.571,0.814
공급망,2,1,1,14,0.571,0.814
벤큐,2,0,2,9,0.571,0.814
아이패드,2,0,2,8,0.571,0.814
스마트폰,2,0,2,98,1.714,0.124
갤럭시,2,2,0,90,2.571,-0.219
폴더블,2,1,1,48,2.714,-0.27
hp,2,3,-1,82,2.857,-0.319
xr,2,3,-1,68,4.429,-0.782
디스플레이,2,1,1,234,10.143,-1.946
하이센스,1,0,1,16,0.143,0.622
생산능력,1,0,1,4,0.143,0.622
한화솔루션,1,0,1,4,0.571,0.244
고성능,1,0,1,30,0.714,0.155
모바일,1,2,-1,28,0.714,0.155
소니,1,0,1,85,1.0,0.0
byd,1,1,0,14,1.143,-0.069
ar,1,1,0,37,1.286,-0.134
sk하이닉스,1,2,-1,61,2.0,-0.414
양산,1,3,-2,61,2.429,-0.558
