--- Sentiment Scaling Log (2025-11-19) ---
--- (Topic_ID (Semantic_Key): raw_score -> final_score) ---
--------------------------------------------------
Topic 0 (XR_Device_Topic): score_raw=0.5006 -> score_final=0.5006
Topic 0 (XR_Device_Topic): score_raw=0.5010 -> score_final=0.5010
Topic 0 (XR_Device_Topic): score_raw=0.4955 -> score_final=0.4955
Topic 0 (XR_Device_Topic): score_raw=0.4979 -> score_final=0.4979
Topic 0 (XR_Device_Topic): score_raw=0.4948 -> score_final=0.4948
Topic 0 (XR_Device_Topic): score_raw=0.5043 -> score_final=0.5043
Topic 0 (XR_Device_Topic): score_raw=0.4989 -> score_final=0.4989
Topic 0 (XR_Device_Topic): score_raw=0.5017 -> score_final=0.5017
Topic 0 (XR_Device_Topic): score_raw=0.5007 -> score_final=0.5007
Topic 0 (XR_Device_Topic): score_raw=0.4959 -> score_final=0.4959
Topic 0 (XR_Device_Topic): score_raw=0.5008 -> score_final=0.5008
Topic 0 (XR_Device_Topic): score_raw=0.5043 -> score_final=0.5043
Topic 0 (XR_Device_Topic): score_raw=0.5078 -> score_final=0.5078
Topic 0 (XR_Device_Topic): score_raw=0.4734 -> score_final=0.4734
Topic 0 (XR_Device_Topic): score_raw=0.5004 -> score_final=0.5004
Topic 0 (XR_Device_Topic): score_raw=0.5028 -> score_final=0.5028
Topic 0 (XR_Device_Topic): score_raw=0.4966 -> score_final=0.4966
Topic 0 (XR_Device_Topic): score_raw=0.4951 -> score_final=0.4951
Topic 0 (XR_Device_Topic): score_raw=0.5061 -> score_final=0.5061
Topic 0 (XR_Device_Topic): score_raw=0.5022 -> score_final=0.5022
Topic 0 (XR_Device_Topic): score_raw=0.4994 -> score_final=0.4994
Topic 0 (XR_Device_Topic): score_raw=0.5013 -> score_final=0.5013
Topic 0 (XR_Device_Topic): score_raw=0.5016 -> score_final=0.5016
Topic 0 (XR_Device_Topic): score_raw=0.4929 -> score_final=0.4929
Topic 0 (XR_Device_Topic): score_raw=0.5007 -> score_final=0.5007
Topic 0 (XR_Device_Topic): score_raw=0.4973 -> score_final=0.4973
Topic 0 (XR_Device_Topic): score_raw=0.4910 -> score_final=0.4910
Topic 0 (XR_Device_Topic): score_raw=0.5086 -> score_final=0.5086
Topic 0 (XR_Device_Topic): score_raw=0.5053 -> score_final=0.5053
Topic 0 (XR_Device_Topic): score_raw=0.4995 -> score_final=0.4995
Topic 0 (XR_Device_Topic): score_raw=0.5028 -> score_final=0.5028
Topic 0 (XR_Device_Topic): score_raw=0.5011 -> score_final=0.5011
Topic 0 (XR_Device_Topic): score_raw=0.5043 -> score_final=0.5043
Topic 0 (XR_Device_Topic): score_raw=0.5019 -> score_final=0.5019
Topic 0 (XR_Device_Topic): score_raw=0.5029 -> score_final=0.5029
Topic 0 (XR_Device_Topic): score_raw=0.5039 -> score_final=0.5039
Topic 0 (XR_Device_Topic): score_raw=0.4972 -> score_final=0.4972
Topic 0 (XR_Device_Topic): score_raw=0.5032 -> score_final=0.5032
Topic 0 (XR_Device_Topic): score_raw=0.4999 -> score_final=0.4999
Topic 0 (XR_Device_Topic): score_raw=0.5048 -> score_final=0.5048
Topic 0 (XR_Device_Topic): score_raw=0.4877 -> score_final=0.4877
Topic 0 (XR_Device_Topic): score_raw=0.5040 -> score_final=0.5040
Topic 0 (XR_Device_Topic): score_raw=0.4996 -> score_final=0.4996
