term,cur,prev,diff,ma7,z_like,total,date
삼성전자,74,17,57,24.286,8.386,606,2026-05-01
마이크로소프트,9,0,9,1.286,3.615,13,2026-05-01
벤큐,4,0,4,0.571,1.953,11,2026-05-01
아이패드,4,0,4,0.857,1.632,12,2026-05-01
tcl,4,2,2,1.143,1.381,53,2026-05-01
애플,11,2,9,6.571,1.243,258,2026-05-01
모니터,5,3,2,2.286,1.081,129,2026-05-01
비보,2,0,2,0.429,0.95,4,2026-05-01
아마존,2,0,2,0.429,0.95,19,2026-05-01
apple,1,0,1,0.143,0.622,4,2026-05-01
capex,1,0,1,0.143,0.622,1,2026-05-01
woled,1,0,1,0.143,0.622,1,2026-05-01
리벨리온,1,0,1,0.143,0.622,2,2026-05-01
소니,1,0,1,0.143,0.622,26,2026-05-01
태블릿,1,0,1,0.143,0.622,14,2026-05-01
스마트폰,4,1,3,2.571,0.549,119,2026-05-01
양산,2,0,2,1.0,0.5,49,2026-05-01
퀄컴,2,0,2,1.0,0.5,17,2026-05-01
bmw,1,0,1,0.286,0.465,6,2026-05-01
boe,1,0,1,0.286,0.465,21,2026-05-01
알파벳,1,1,0,0.286,0.465,4,2026-05-01
모바일,2,2,0,1.143,0.414,40,2026-05-01
갤럭시,3,5,-2,2.143,0.348,92,2026-05-01
고성능,1,1,0,0.429,0.345,18,2026-05-01
고효율,1,1,0,0.429,0.345,9,2026-05-01
메타,2,4,-2,1.286,0.335,29,2026-05-01
asus,1,0,1,0.571,0.244,15,2026-05-01
삼성디스플레이,1,1,0,0.714,0.155,90,2026-05-01
구글,2,3,-1,1.714,0.124,66,2026-05-01
xr,3,3,0,3.143,-0.052,128,2026-05-01
sk하이닉스,1,0,1,1.429,-0.195,85,2026-05-01
공급망,1,3,-2,1.857,-0.363,45,2026-05-01
아이폰,2,3,-1,3.286,-0.457,112,2026-05-01
엔비디아,1,6,-5,2.143,-0.464,93,2026-05-01
lg전자,5,20,-15,7.143,-0.583,226,2026-05-01
lg디스플레이,1,5,-4,2.714,-0.648,141,2026-05-01
폴더블,1,2,-1,3.0,-0.732,161,2026-05-01
노트북,3,2,1,5.571,-0.765,152,2026-05-01
디스플레이,4,27,-23,7.857,-1.014,256,2026-05-01
oled,5,14,-9,9.571,-1.117,362,2026-05-01
hp,2,5,-3,5.857,-1.128,65,2026-05-01
tv,6,14,-8,11.571,-1.266,388,2026-05-01
tv,34,6,28,15.429,3.769,412,2026-05-02
애플,15,11,4,8.0,1.828,263,2026-05-02
삼성전자,33,74,-41,27.571,0.868,627,2026-05-02
boe,2,1,1,0.571,0.814,23,2026-05-02
갤럭시북,1,0,1,0.143,0.622,1,2026-05-02
폭스바겐,1,0,1,0.143,0.622,4,2026-05-02
샤오펑,1,0,1,0.286,0.465,2,2026-05-02
레노버,1,0,1,0.429,0.345,45,2026-05-02
고성능,1,1,0,0.571,0.244,18,2026-05-02
삼성디스플레이,1,1,0,0.714,0.155,91,2026-05-02
메타,1,2,-1,1.286,-0.134,30,2026-05-02
구글,1,2,-1,1.857,-0.363,53,2026-05-02
xr,2,3,-1,3.0,-0.366,126,2026-05-02
엔비디아,1,1,0,2.143,-0.464,87,2026-05-02
갤럭시,1,3,-2,2.286,-0.512,86,2026-05-02
모니터,1,5,-4,2.429,-0.558,118,2026-05-02
lg전자,5,5,0,7.143,-0.583,229,2026-05-02
스마트폰,1,4,-3,2.571,-0.604,117,2026-05-02
아이폰,1,2,-1,3.0,-0.732,112,2026-05-02
노트북,2,3,-1,4.571,-0.819,150,2026-05-02
byd,2,0,2,0.571,0.814,12,2026-05-03
lcd,1,0,1,0.143,0.622,18,2026-05-03
갤럭시,4,1,3,2.714,0.486,81,2026-05-03
폭스바겐,1,1,0,0.286,0.465,5,2026-05-03
맥북,1,0,1,0.571,0.244,14,2026-05-03
lg디스플레이,2,0,2,1.571,0.19,123,2026-05-03
아이폰,3,1,2,2.571,0.165,110,2026-05-03
boe,1,2,-1,0.714,0.155,23,2026-05-03
올레드,2,0,2,1.714,0.124,30,2026-05-03
구글,2,1,1,1.857,0.06,53,2026-05-03
lg전자,8,5,3,7.857,0.038,234,2026-05-03
sk하이닉스,1,0,1,1.0,0.0,81,2026-05-03
아이패드,1,0,1,1.0,0.0,13,2026-05-03
모바일,1,0,1,1.143,-0.069,39,2026-05-03
애플,8,15,-7,8.429,-0.11,258,2026-05-03
메타,1,1,0,1.286,-0.134,31,2026-05-03
엔비디아,1,1,0,2.286,-0.512,84,2026-05-03
모니터,1,1,0,2.571,-0.604,90,2026-05-03
폴더블,1,0,1,2.714,-0.648,154,2026-05-03
xr,1,2,-1,2.857,-0.69,119,2026-05-03
디스플레이,3,0,3,7.429,-1.189,247,2026-05-03
oled,4,0,4,9.0,-1.25,339,2026-05-03
tv,8,34,-26,15.714,-1.554,410,2026-05-03
삼성전자,4,33,-29,27.429,-3.756,597,2026-05-03
기아,3,0,3,0.571,1.383,38,2026-05-04
노트북,8,0,8,4.714,1.036,155,2026-05-04
amd,1,0,1,0.143,0.622,9,2026-05-04
cluster,1,0,1,0.143,0.622,1,2026-05-04
kaist,1,0,1,0.143,0.622,16,2026-05-04
lg화학,1,0,1,0.143,0.622,10,2026-05-04
vr,1,0,1,0.143,0.622,8,2026-05-04
bmw,1,0,1,0.286,0.465,7,2026-05-04
화웨이,1,0,1,0.286,0.465,30,2026-05-04
갤럭시,4,4,0,3.0,0.366,78,2026-05-04
아마존,1,0,1,0.429,0.345,15,2026-05-04
알파벳,1,0,1,0.429,0.345,5,2026-05-04
구글,2,2,0,1.857,0.06,50,2026-05-04
sk하이닉스,1,1,0,1.0,0.0,79,2026-05-04
공급망,1,0,1,1.143,-0.069,45,2026-05-04
메타,1,1,0,1.429,-0.195,31,2026-05-04
엔비디아,2,1,1,2.571,-0.219,84,2026-05-04
lg전자,7,8,-1,8.143,-0.297,240,2026-05-04
올레드,1,2,-1,1.857,-0.363,31,2026-05-04
모니터,1,1,0,2.286,-0.512,81,2026-05-04
xr,1,1,0,2.714,-0.648,115,2026-05-04
애플,4,8,-4,8.429,-1.135,257,2026-05-04
hp,1,0,1,5.857,-1.42,63,2026-05-04
oled,2,4,-2,8.714,-1.699,335,2026-05-04
디스플레이,1,3,-2,7.286,-1.699,239,2026-05-04
tv,2,8,-6,15.857,-2.781,404,2026-05-04
삼성전자,10,4,6,28.143,-2.878,591,2026-05-04
레노버,9,0,9,1.571,3.296,53,2026-05-05
tv,32,2,30,17.714,2.743,434,2026-05-05
노트북,15,8,7,6.143,2.546,168,2026-05-05
태블릿,6,0,6,1.0,2.5,20,2026-05-05
xr,8,1,7,3.0,1.83,122,2026-05-05
kaist,4,1,3,0.714,1.781,20,2026-05-05
한미반도체,2,0,2,0.286,1.117,4,2026-05-05
삼성전자,36,10,26,30.571,0.831,621,2026-05-05
tcl,3,0,3,1.571,0.634,39,2026-05-05
4k,1,0,1,0.143,0.622,15,2026-05-05
8k,1,0,1,0.143,0.622,3,2026-05-05
tsmc,1,0,1,0.143,0.622,19,2026-05-05
모니터,4,1,3,2.571,0.549,85,2026-05-05
amd,1,1,0,0.286,0.465,10,2026-05-05
스마트폰,3,0,3,2.0,0.414,112,2026-05-05
asus,1,0,1,0.429,0.345,13,2026-05-05
ar,1,0,1,0.571,0.244,35,2026-05-05
양산,1,0,1,0.571,0.244,48,2026-05-05
기아,1,3,-2,0.714,0.155,39,2026-05-05
메타,2,1,1,1.714,0.124,31,2026-05-05
lg전자,9,7,2,8.714,0.072,248,2026-05-05
인텔,1,0,1,1.0,0.0,38,2026-05-05
구글,2,2,0,2.0,0.0,50,2026-05-05
공급망,1,1,0,1.0,0.0,46,2026-05-05
갤럭시,3,4,-1,3.143,-0.052,77,2026-05-05
폴더블,1,0,1,1.143,-0.069,151,2026-05-05
디스플레이,7,1,6,7.857,-0.225,245,2026-05-05
엔비디아,1,2,-1,2.0,-0.414,85,2026-05-05
hp,3,1,2,5.143,-0.656,66,2026-05-05
애플,4,4,0,7.286,-0.888,251,2026-05-05
oled,2,2,0,8.0,-1.567,337,2026-05-05
oled,56,2,54,11.857,9.934,392,2026-05-06
lg디스플레이,17,0,17,3.571,4.647,134,2026-05-06
삼성디스플레이,9,0,9,1.714,3.155,97,2026-05-06
인텔,7,1,6,1.714,2.289,44,2026-05-06
디스플레이,14,7,7,8.0,1.567,257,2026-05-06
퀄컴,3,0,3,0.714,1.239,17,2026-05-06
sk하이닉스,3,0,3,0.857,1.113,80,2026-05-06
애플,12,4,8,8.0,1.045,260,2026-05-06
amd,2,1,1,0.571,0.814,12,2026-05-06
고휘도,1,0,1,0.143,0.622,1,2026-05-06
스트레처블,1,0,1,0.143,0.622,1,2026-05-06
xr,5,8,-3,3.286,0.609,127,2026-05-06
맥북,1,0,1,0.286,0.465,13,2026-05-06
tsmc,1,1,0,0.286,0.465,20,2026-05-06
알파벳,1,0,1,0.571,0.244,6,2026-05-06
양산,1,1,0,0.571,0.244,49,2026-05-06
아이폰,2,0,2,1.571,0.19,110,2026-05-06
kaist,1,4,-3,0.857,0.074,21,2026-05-06
공급망,1,1,0,1.0,0.0,47,2026-05-06
스마트폰,1,3,-2,1.429,-0.195,112,2026-05-06
노트북,4,15,-11,4.857,-0.268,168,2026-05-06
hp,1,3,-2,1.714,-0.309,67,2026-05-06
엔비디아,1,1,0,1.857,-0.363,86,2026-05-06
구글,1,2,-1,1.857,-0.363,50,2026-05-06
갤럭시,2,3,-1,3.143,-0.412,76,2026-05-06
tv,13,32,-19,15.571,-0.52,443,2026-05-06
lg전자,5,9,-4,8.429,-0.878,250,2026-05-06
삼성전자,12,36,-24,26.571,-2.368,620,2026-05-06
삼성디스플레이,11,9,2,3.143,2.834,108,2026-05-07
oled,23,56,-33,13.143,2.131,402,2026-05-07
디스플레이,13,14,-1,6.0,2.029,260,2026-05-07
tv,26,13,13,17.286,1.69,462,2026-05-07
tsmc,4,1,3,0.857,1.632,24,2026-05-07
ar,3,0,3,0.571,1.383,35,2026-05-07
amd,4,2,2,1.143,1.381,16,2026-05-07
xr,8,5,3,4.0,1.333,134,2026-05-07
모바일,3,0,3,0.857,1.113,36,2026-05-07
폴더블,3,0,3,0.857,1.113,149,2026-05-07
