term,cur,prev,diff,total,ma7,z_like
xr,7,2,5,98,2.571,1.701
벤큐,4,1,3,6,0.857,1.632
해상도,3,0,3,6,0.429,1.554
lg전자,12,3,9,309,6.714,1.472
bmw,2,0,2,11,0.286,1.117
게이밍모니터,1,0,1,1,0.143,0.622
galaxy,1,0,1,2,0.143,0.622
갤럭시북,1,0,1,2,0.143,0.622
sharp,1,0,1,6,0.143,0.622
harman,1,1,0,2,0.286,0.465
스마트워치,1,1,0,8,0.286,0.465
주사율,1,1,0,10,0.286,0.465
sk하이닉스,2,1,1,51,1.143,0.414
양산,1,0,1,19,0.429,0.345
공급망,1,0,1,20,0.429,0.345
vr,1,0,1,13,0.571,0.244
기아,1,0,1,54,0.857,0.074
벤츠,1,1,0,66,1.286,-0.134
udc,1,0,1,13,1.714,-0.309
갤럭시,1,0,1,94,1.714,-0.309
노트북,1,1,0,91,2.0,-0.414
