term,cur,prev,diff,total,ma7,z_like
양산,35,1,34,51,5.429,8.88
lg디스플레이,23,0,23,143,7.571,4.113
노트북,18,0,18,140,5.857,3.55
주사율,11,0,11,11,1.571,4.184
sk하이닉스,8,1,7,67,2.857,1.912
퀄컴,7,0,7,51,2.714,1.619
아이폰,7,6,1,97,4.714,0.721
디스플레이,7,2,5,273,7.857,-0.225
삼성전자,7,5,2,491,20.714,-2.47
lg전자,6,1,5,179,2.857,1.168
lcd,5,0,5,32,2.0,1.243
애플,5,6,-1,244,9.286,-1.059
폴더블,4,2,2,83,5.429,-0.429
oled,4,0,4,357,9.429,-1.334
스마트폰,3,3,0,118,2.857,0.053
ar,2,2,0,34,1.571,0.19
갤럭시,2,4,-2,243,3.143,-0.412
vr,2,0,2,38,3.857,-0.627
tv,2,0,2,288,5.143,-0.962
아이패드,1,0,1,15,0.143,0.622
요가,1,0,1,10,0.143,0.622
byd,1,0,1,5,0.143,0.622
수율,1,0,1,8,0.286,0.465
올레드,1,0,1,8,0.286,0.465
에어팟,1,1,0,4,0.429,0.345
아마존,1,1,0,9,0.571,0.244
화웨이,1,0,1,15,0.714,0.155
맥북,1,1,0,91,1.143,-0.069
현대모비스,1,6,-5,28,1.429,-0.195
공급망,1,0,1,36,1.714,-0.309
레노버,1,1,0,81,2.429,-0.558
삼성디스플레이,1,0,1,65,2.429,-0.558
모니터,1,2,-1,138,4.143,-1.035
xr,1,1,0,116,5.0,-1.236
