term,cur,prev,diff,total,ma7,z_like
oled,36,5,31,295,10.286,6.112
삼성전자,25,12,13,343,11.714,3.004
삼성디스플레이,21,0,21,67,3.571,6.031
디스플레이,14,2,12,248,7.429,1.764
노트북,12,8,4,115,5.429,1.973
xr,11,2,9,96,4.286,2.187
tv,11,1,10,177,4.571,2.049
갤럭시,11,22,-11,134,8.714,0.578
lg전자,7,16,-9,298,9.857,-0.69
폴더블,6,6,0,182,7.0,-0.274
sk하이닉스,5,0,5,133,2.429,1.005
모니터,5,2,3,107,2.571,0.933
애플,5,7,-2,346,9.857,-1.173
kaist,4,0,4,23,0.571,1.953
sharp,3,0,3,26,0.857,1.113
공급망,3,0,3,51,1.714,0.557
레노버,2,0,2,40,0.429,0.95
amd,2,0,2,11,0.429,0.95
lg디스플레이,2,0,2,98,0.714,0.697
tcl,2,1,1,28,0.857,0.593
아이폰,2,3,-1,88,1.857,0.06
hp,2,0,2,39,2.429,-0.168
기아,2,0,2,37,2.429,-0.168
모바일,2,1,1,49,3.857,-0.627
엔비디아,2,1,1,100,4.286,-0.744
스마트폰,2,5,-3,108,5.143,-0.962
맥북,1,0,1,34,0.143,0.622
올레드,1,0,1,23,0.143,0.622
비보,1,0,1,6,0.143,0.622
잉크젯,1,0,1,5,0.143,0.622
갤럭시워치,1,0,1,2,0.143,0.622
픽셀,1,0,1,2,0.143,0.622
고휘도,1,0,1,1,0.143,0.622
응답속도,1,0,1,1,0.143,0.622
투명디스플레이,1,0,1,1,0.143,0.622
메타,1,1,0,29,0.286,0.465
샤오미,1,0,1,10,0.286,0.465
byd,1,1,0,16,0.571,0.244
카카오,1,0,1,13,0.571,0.244
아이패드,1,0,1,35,0.857,0.074
퀄컴,1,1,0,29,1.143,-0.069
구글,1,0,1,38,1.429,-0.195
