term,cur,prev,diff,ma7,z_like,total
kaist,12,1,11,2.0,4.142,25
디스플레이,27,4,23,11.143,3.655,227
tv,13,1,12,4.857,2.542,239
갤럭시,11,3,8,3.857,2.41,72
삼성전자,28,30,-2,16.143,2.363,418
스트레처블,5,0,5,0.714,2.323,5
폴더블,13,7,6,8.286,1.215,147
스마트폰,6,3,3,3.0,1.098,90
tsmc,2,0,2,0.429,0.95,17
도우인시스,2,0,2,0.429,0.95,7
tcl,2,1,1,0.571,0.814,28
양산,3,0,3,1.286,0.803,39
아이폰,6,1,5,3.857,0.723,88
boe,2,0,2,0.714,0.697,35
사이니지,1,0,1,0.143,0.622,9
소니,1,0,1,0.143,0.622,5
모니터,4,5,-1,2.429,0.614,88
인텔,2,1,1,0.857,0.593,30
공급망,2,0,2,1.0,0.5,51
4k,1,0,1,0.286,0.465,13
샤오미,1,0,1,0.286,0.465,8
애플,12,8,4,10.286,0.407,303
miniled,1,1,0,0.429,0.345,3
퀄컴,1,1,0,0.429,0.345,27
구글,2,1,1,1.429,0.26,42
삼성디스플레이,1,0,1,0.571,0.244,39
현대모비스,1,0,1,0.571,0.244,9
xr,4,3,1,3.429,0.2,143
amd,1,1,0,0.714,0.155,10
하이센스,1,2,-1,0.714,0.155,49
카카오,1,1,0,0.857,0.074,14
sharp,1,2,-1,0.857,0.074,20
lg전자,9,17,-8,8.714,0.072,300
엔비디아,3,7,-4,2.857,0.053,100
모바일,1,1,0,1.0,0.0,33
hp,1,2,-1,1.0,0.0,28
lg디스플레이,1,2,-1,1.0,0.0,116
기아,1,1,0,1.143,-0.069,24
메타,1,1,0,1.286,-0.134,28
lg화학,1,9,-8,2.0,-0.414,16
oled,5,9,-4,7.429,-0.652,228
노트북,2,3,-1,4.0,-0.667,111
