term,cur,prev,diff,total,ma7,z_like
삼성디스플레이,17,0,17,64,2.571,5.542
서피스,9,0,9,16,1.286,3.615
에어팟,8,1,7,9,1.286,3.146
마이크로소프트,7,0,7,13,1.143,2.831
애플,14,2,12,166,5.714,2.444
폴더블,10,2,8,71,3.429,2.304
아이폰,8,1,7,53,2.286,2.275
퀄컴,5,0,5,44,0.857,2.151
boe,6,2,4,36,1.571,1.965
양산,3,0,3,49,0.429,1.554
kaist,3,0,3,23,0.571,1.383
tcl,3,0,3,26,1.0,1.0
sk하이닉스,3,0,3,50,1.429,0.716
amoled,1,0,1,1,0.143,0.622
니트,1,0,1,1,0.143,0.622
리벨리온,1,0,1,1,0.143,0.622
불량률,1,0,1,1,0.143,0.622
고해상도,1,0,1,5,0.143,0.622
소니,1,0,1,10,0.143,0.622
요가,1,0,1,14,0.143,0.622
스마트폰,4,1,3,83,2.571,0.549
수율,1,0,1,13,0.286,0.465
레노버,3,1,2,85,2.143,0.348
byd,1,0,1,11,0.429,0.345
sharp,1,0,1,13,0.429,0.345
메타,1,0,1,34,0.429,0.345
공급망,2,1,1,49,1.429,0.26
bmw,1,0,1,12,0.571,0.244
구글,2,1,1,111,1.857,0.06
인텔,1,1,0,50,1.0,0.0
