--- Sentiment Scaling Log (2026-06-09) ---
--- (Topic_ID (Semantic_Key): raw_score -> final_score) ---
--------------------------------------------------
Topic 0 (Foldable_Display_Topic): score_raw=0.4729 -> score_final=0.4729
Topic 0 (Foldable_Display_Topic): score_raw=0.4697 -> score_final=0.4697
Topic 0 (Foldable_Display_Topic): score_raw=0.4604 -> score_final=0.4604
Topic 0 (Foldable_Display_Topic): score_raw=0.4782 -> score_final=0.4782
Topic 0 (Foldable_Display_Topic): score_raw=0.4744 -> score_final=0.4744
Topic 0 (Foldable_Display_Topic): score_raw=0.4738 -> score_final=0.4738
Topic 0 (Foldable_Display_Topic): score_raw=0.4732 -> score_final=0.4732
Topic 0 (Foldable_Display_Topic): score_raw=0.4718 -> score_final=0.4718
Topic 0 (Foldable_Display_Topic): score_raw=0.4690 -> score_final=0.4690
Topic 0 (Foldable_Display_Topic): score_raw=0.4663 -> score_final=0.4663
Topic 0 (Foldable_Display_Topic): score_raw=0.4791 -> score_final=0.4791
Topic 0 (Foldable_Display_Topic): score_raw=0.4764 -> score_final=0.4764
Topic 0 (Foldable_Display_Topic): score_raw=0.4654 -> score_final=0.4654
Topic 0 (Foldable_Display_Topic): score_raw=0.4747 -> score_final=0.4747
Topic 0 (Foldable_Display_Topic): score_raw=0.4586 -> score_final=0.4586
Topic 0 (Foldable_Display_Topic): score_raw=0.4662 -> score_final=0.4662
Topic 0 (Foldable_Display_Topic): score_raw=0.4679 -> score_final=0.4679
Topic 0 (Foldable_Display_Topic): score_raw=0.4737 -> score_final=0.4737
Topic 0 (Foldable_Display_Topic): score_raw=0.4576 -> score_final=0.4576
Topic 0 (Foldable_Display_Topic): score_raw=0.4846 -> score_final=0.4846
Topic 0 (Foldable_Display_Topic): score_raw=0.4689 -> score_final=0.4689
Topic 0 (Foldable_Display_Topic): score_raw=0.4717 -> score_final=0.4717
Topic 0 (Foldable_Display_Topic): score_raw=0.4701 -> score_final=0.4701
Topic 0 (Foldable_Display_Topic): score_raw=0.4891 -> score_final=0.4891
Topic 0 (Foldable_Display_Topic): score_raw=0.4699 -> score_final=0.4699
Topic 0 (Foldable_Display_Topic): score_raw=0.4667 -> score_final=0.4667
Topic 0 (Foldable_Display_Topic): score_raw=0.4633 -> score_final=0.4633
Topic 0 (Foldable_Display_Topic): score_raw=0.4727 -> score_final=0.4727
Topic 0 (Foldable_Display_Topic): score_raw=0.4705 -> score_final=0.4705
Topic 0 (Foldable_Display_Topic): score_raw=0.4663 -> score_final=0.4663
Topic 0 (Foldable_Display_Topic): score_raw=0.4695 -> score_final=0.4695
Topic 0 (Foldable_Display_Topic): score_raw=0.4703 -> score_final=0.4703
Topic 0 (Foldable_Display_Topic): score_raw=0.4697 -> score_final=0.4697
Topic 0 (Foldable_Display_Topic): score_raw=0.4678 -> score_final=0.4678
Topic 0 (Foldable_Display_Topic): score_raw=0.4691 -> score_final=0.4691
Topic 0 (Foldable_Display_Topic): score_raw=0.4533 -> score_final=0.4533
Topic 0 (Foldable_Display_Topic): score_raw=0.4654 -> score_final=0.4654
Topic 0 (Foldable_Display_Topic): score_raw=0.4696 -> score_final=0.4696
Topic 0 (Foldable_Display_Topic): score_raw=0.4598 -> score_final=0.4598
Topic 0 (Foldable_Display_Topic): score_raw=0.4619 -> score_final=0.4619
