term,cur,prev,diff,total,ma7,z_like
hp,9,1,8,41,2.714,2.374
tsmc,3,0,3,11,0.714,1.239
샤오미,2,0,2,48,0.429,0.95
게이밍모니터,1,0,1,2,0.143,0.622
에어팟,1,0,1,4,0.143,0.622
생산능력,1,0,1,7,0.143,0.622
한화시스템,1,1,0,3,0.286,0.465
csot,1,0,1,4,0.286,0.465
아이패드,1,0,1,10,0.286,0.465
퀄컴,1,0,1,17,0.286,0.465
모바일,1,0,1,46,0.286,0.465
vr,2,0,2,19,1.143,0.414
tv,5,2,3,191,4.143,0.282
4k,1,0,1,13,0.571,0.244
카카오,1,1,0,32,0.857,0.074
갤럭시,3,1,2,127,2.857,0.053
스마트폰,3,0,3,102,4.0,-0.333
lg전자,5,1,4,298,6.571,-0.441
공급망,1,1,0,57,2.286,-0.512
애플,8,2,6,412,10.857,-0.665
lg화학,1,1,0,28,3.714,-0.927
