term,cur,prev,diff,ma7,z_like,total,date
lg전자,31,24,7,13.0,3.908,273,2025-12-12
kaist,9,1,8,1.429,3.449,26,2025-12-12
퀄컴,10,0,10,1.857,3.446,35,2025-12-12
인텔,5,1,4,1.286,1.741,55,2025-12-12
아이폰,4,2,2,1.286,1.272,67,2025-12-12
노트북,7,1,6,3.429,1.252,100,2025-12-12
하이센스,2,0,2,0.286,1.117,10,2025-12-12
hp,3,1,2,0.857,1.113,24,2025-12-12
스마트폰,8,6,2,4.857,0.981,90,2025-12-12
삼성디스플레이,3,1,2,1.286,0.803,148,2025-12-12
엔비디아,5,3,2,2.857,0.797,116,2025-12-12
디스플레이,8,7,1,5.714,0.674,199,2025-12-12
ald,1,0,1,0.143,0.622,1,2025-12-12
hdr,1,0,1,0.143,0.622,1,2025-12-12
마이크로소프트,1,0,1,0.143,0.622,9,2025-12-12
미디어텍,1,0,1,0.143,0.622,2,2025-12-12
오포,1,0,1,0.143,0.622,4,2025-12-12
xr,5,2,3,3.429,0.551,106,2025-12-12
tsmc,2,2,0,1.0,0.5,20,2025-12-12
공급망,1,0,1,0.286,0.465,22,2025-12-12
woled,1,1,0,0.286,0.465,3,2025-12-12
선익시스템,1,1,0,0.286,0.465,15,2025-12-12
sk하이닉스,3,6,-3,2.0,0.414,53,2025-12-12
샤오미,1,2,-1,0.571,0.244,13,2025-12-12
폴더블,4,3,1,3.429,0.2,101,2025-12-12
모바일,1,0,1,0.857,0.074,42,2025-12-12
boe,1,2,-1,0.857,0.074,35,2025-12-12
ar,1,2,-1,1.0,0.0,37,2025-12-12
주사율,1,5,-4,1.0,0.0,9,2025-12-12
애플,6,8,-2,6.143,-0.041,211,2025-12-12
고성능,1,1,0,1.571,-0.254,26,2025-12-12
갤럭시,2,5,-3,3.0,-0.366,74,2025-12-12
tv,5,8,-3,6.571,-0.441,199,2025-12-12
lg디스플레이,3,11,-8,5.286,-0.693,122,2025-12-12
기아,3,11,-8,6.0,-0.87,72,2025-12-12
모니터,2,12,-10,5.143,-0.962,103,2025-12-12
벤츠,2,2,0,5.286,-0.996,151,2025-12-12
구글,1,3,-2,4.429,-1.104,63,2025-12-12
현대모비스,1,2,-1,4.571,-1.138,55,2025-12-12
삼성전자,3,8,-5,9.571,-1.605,376,2025-12-12
oled,1,22,-21,8.857,-1.976,285,2025-12-12
갤럭시,16,2,14,4.857,3.478,79,2025-12-13
xr,8,5,3,3.429,1.603,99,2025-12-13
asus,2,0,2,0.429,0.95,26,2025-12-13
태블릿,2,0,2,0.429,0.95,25,2025-12-13
벤츠,10,2,8,6.714,0.915,129,2025-12-13
ar,3,1,2,1.143,0.898,38,2025-12-13
tsmc,3,2,1,1.286,0.803,23,2025-12-13
삼성전자,14,3,11,11.286,0.623,383,2025-12-13
ase,1,0,1,0.143,0.622,1,2025-12-13
모바일,2,1,1,0.857,0.593,41,2025-12-13
삼성디스플레이,3,3,0,1.714,0.557,150,2025-12-13
엔비디아,5,5,0,3.429,0.551,115,2025-12-13
