org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,664.43 (2%),534.57 (1%),,727.64 (2%),153.91 (1%),297.52 (2%),801.85 (6%),,,210.94 (2%),184.62 (2%)
ASE,75.58 (0%),72.15 (0%),,68.02 (0%),21.30 (0%),10.31 (0%),13.05 (0%),,,19.93 (0%),14.69 (0%)
ASUS,292.71 (1%),172.46 (0%),,295.46 (1%),57.03 (0%),111.31 (1%),303.70 (2%),,,119.56 (1%),75.52 (1%)
AUO,133.99 (0%),116.81 (0%),,142.92 (0%),24.74 (0%),29.55 (0%),32.29 (0%),,,30.23 (0%),29.37 (0%)
Acer,94.82 (0%),64.59 (0%),20.84 (0%),83.14 (0%),,45.35 (0%),108.56 (1%),,,24.05 (0%),24.48 (0%)
Amkor,17.18 (0%),17.18 (0%),,18.55 (0%),4.12 (0%),3.44 (0%),4.12 (0%),,2.12 (0%),,2.10 (0%)
Apple,92.07 (0%),71.46 (0%),20.84 (0%),79.70 (0%),,24.74 (0%),28.17 (0%),,,30.92 (0%),28.67 (0%)
BMW,606.71 (1%),562.74 (1%),,572.36 (1%),490.59 (3%),158.72 (1%),113.37 (1%),,,385.47 (3%),140.56 (2%)
BOE,810.78 (2%),741.39 (2%),,651.38 (2%),161.47 (1%),180.71 (1%),160.78 (1%),179.72 (2%),,123.68 (1%),
BYD,344.93 (1%),333.25 (1%),,326.37 (1%),247.36 (1%),74.21 (0%),74.89 (1%),,,192.39 (2%),67.83 (1%)
Bosch,13.05 (0%),9.62 (0%),,11.68 (0%),,2.75 (0%),3.44 (0%),,2.12 (0%),5.50 (0%),4.90 (0%)
CSOT,293.39 (1%),298.20 (1%),,200.63 (0%),46.72 (0%),37.79 (0%),61.15 (0%),84.62 (1%),,45.35 (0%),
Continental,19.24 (0%),19.93 (0%),,15.12 (0%),8.25 (0%),4.81 (0%),2.75 (0%),,,8.25 (0%),4.20 (0%)
Corning,5.50 (0%),4.81 (0%),2.16 (0%),7.56 (0%),,,4.12 (0%),,0.71 (0%),1.37 (0%),1.40 (0%)
