semantic_key,monthly_avg_sentiment
Apple_Display_Topic,0.6923
Automotive_Display_Topic,0.9949
Automotive_Topic,0.5075
Display_Materials_Topic,0.7097
Equipment_Maker,0.9999
Flexible_Display_Topic,0.8520
Foldable_Display_Topic,0.8108
Gaming_Monitor_Topic,0.9984
OLED_Topic,0.5027
Panel_Manufacturer,0.8467
Platform_Company,0.8438
Quantum_Dot_Topic,0.6676
Set_Manufacturer,0.9194
Smartphone_Display_Topic,0.8479
TV_Display_Topic,0.9979
Transparent_Display_Topic,0.9999
Uncategorized,0.4904
XR_Device_Topic,0.9999
