term,cur,prev,diff,ma7,z_like,total
고효율,9,0,9,1.286,3.615,21
lg전자,16,6,10,7.0,2.469,310
구글,7,1,6,1.571,2.409,63
태블릿,3,0,3,0.429,1.554,10
노트북,8,5,3,3.571,1.532,135
샤프,2,0,2,0.286,1.117,2
소니,2,0,2,0.571,0.814,11
xr,7,5,2,4.571,0.774,91
디스플레이,7,4,3,4.714,0.721,201
모바일,1,0,1,0.143,0.622,45
아마존,1,0,1,0.143,0.622,16
모니터,6,4,2,4.286,0.558,162
csot,1,0,1,0.286,0.465,3
수율,1,0,1,0.286,0.465,8
양산,1,0,1,0.286,0.465,29
저전력,1,0,1,0.286,0.465,5
tsmc,1,1,0,0.286,0.465,8
oled,10,17,-7,8.429,0.403,334
폭스바겐,1,1,0,0.429,0.345,5
ar,2,5,-3,1.286,0.335,54
삼성전자,5,2,3,4.0,0.333,463
byd,1,0,1,0.571,0.244,15
맥북,1,0,1,0.571,0.244,20
sk하이닉스,2,2,0,1.714,0.124,55
lcd,1,3,-2,0.857,0.074,38
인텔,1,4,-3,0.857,0.074,27
갤럭시,3,7,-4,3.429,-0.15,128
lg디스플레이,2,5,-3,2.429,-0.168,61
4k,1,1,0,1.429,-0.195,13
tcl,1,1,0,1.429,-0.195,78
엔비디아,1,1,0,1.571,-0.254,175
폴더블,11,19,-8,12.143,-0.255,314
공급망,2,4,-2,2.714,-0.27,57
레노버,1,1,0,1.714,-0.309,124
스마트폰,3,3,0,4.143,-0.377,106
삼성디스플레이,1,2,-1,2.0,-0.414,85
lg화학,1,4,-3,3.429,-0.852,26
애플,11,9,2,15.857,-0.975,414
기아,1,15,-14,5.143,-1.268,47
tv,1,2,-1,5.714,-1.39,232
아이폰,3,7,-4,12.857,-2.15,248
