org,topic_0,topic_1,topic_10,topic_11,topic_12,topic_13,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,85.95 (27%),6.47 (1%),13.33 (1%),,,8.01 (2%),,12.07 (1%),,7.19 (1%),18.24 (2%),17.33 (2%),,
AUO,,21.57 (2%),12.63 (1%),,,,10.52 (1%),28.41 (2%),,10.79 (1%),10.52 (1%),15.94 (2%),,11.06 (2%)
BMW,,6.47 (1%),7.72 (1%),,,,2.81 (0%),9.94 (1%),,2.88 (0%),10.52 (1%),4.85 (1%),2.91 (1%),
BOE,,77.67 (7%),57.53 (6%),,,,56.83 (6%),71.73 (6%),,37.39 (5%),30.17 (4%),35.35 (4%),29.86 (7%),
BYD,,6.47 (1%),12.63 (1%),,,3.64 (1%),4.21 (0%),7.81 (1%),,,9.12 (1%),9.70 (1%),,4.43 (1%)
CES,,2.16 (0%),,,,1.46 (0%),1.40 (0%),2.13 (0%),,0.72 (0%),2.10 (0%),2.08 (0%),,0.74 (0%)
CSOT,,40.99 (3%),30.17 (3%),,,,27.36 (3%),29.12 (2%),,19.42 (3%),8.42 (1%),11.78 (1%),14.56 (3%),
Harman,,5.03 (0%),2.81 (0%),,,,4.91 (1%),7.10 (1%),2.27 (1%),,8.42 (1%),6.24 (1%),,2.21 (0%)
Innolux,,21.57 (2%),23.15 (2%),,,12.38 (2%),9.82 (1%),32.67 (3%),,12.94 (2%),22.45 (3%),21.49 (3%),,
IoT,,17.26 (1%),9.82 (1%),,,8.01 (2%),,20.60 (2%),,8.63 (1%),16.84 (2%),22.87 (3%),,14.01 (2%)
JDI,,16.54 (1%),8.42 (1%),,,7.28 (1%),11.23 (1%),10.65 (1%),,7.91 (1%),4.21 (1%),,5.10 (1%),
LG디스플레이,,176.19 (15%),92.61 (9%),,,,101.03 (11%),102.99 (8%),,86.29 (12%),44.90 (6%),47.83 (6%),48.79 (11%),
LG전자,88.72 (28%),41.71 (4%),42.80 (4%),,,25.49 (5%),31.57 (4%),44.03 (4%),,,49.81 (7%),56.84 (7%),,
LG화학,,2.16 (0%),3.51 (0%),,,3.64 (1%),3.51 (0%),4.26 (0%),,2.88 (0%),2.10 (0%),2.08 (0%),,
MOTIE,,,,,6.23 (7%),,0.70 (0%),,2.27 (1%),,,0.69 (0%),,0.74 (0%)
SID,1.39 (0%),2.16 (0%),1.40 (0%),1.17 (1%),,,,4.97 (0%),,1.44 (0%),2.81 (0%),1.39 (0%),,
SK하이닉스,,12.23 (1%),16.14 (2%),,,,12.63 (1%),10.65 (1%),,17.98 (2%),9.12 (1%),9.70 (1%),,8.85 (1%)
Semiconductor,,4.31 (0%),3.51 (0%),,,2.91 (1%),,9.94 (1%),,3.60 (0%),,2.77 (0%),1.46 (0%),2.21 (0%)
TCL,,34.52 (3%),25.96 (3%),21.06 (14%),,,19.64 (2%),23.44 (2%),,10.79 (1%),10.52 (1%),9.70 (1%),,
TSMC,,7.19 (1%),11.93 (1%),,,5.83 (1%),9.12 (1%),7.81 (1%),,7.19 (1%),8.42 (1%),5.55 (1%),,
Tianma,,26.61 (2%),24.56 (2%),,12.47 (14%),,17.54 (2%),29.12 (2%),,12.94 (2%),,13.17 (2%),12.38 (3%),
Toray,,2.16 (0%),2.10 (0%),,4.67 (5%),1.46 (0%),,4.97 (0%),3.03 (1%),1.44 (0%),,,1.46 (0%),
UDC,,2.16 (0%),,1.17 (1%),,,1.40 (0%),4.97 (0%),0.76 (0%),,1.40 (0%),1.39 (0%),1.46 (0%),
Visionox,,20.85 (2%),18.24 (2%),,,4.37 (1%),14.73 (2%),21.31 (2%),,12.23 (2%),,4.85 (1%),9.47 (2%),
구글,,24.50 (2%),27.75 (2%),,,,37.00 (4%),55.41 (4%),,26.87 (3%),40.09 (5%),39.60 (5%),,77.00 (11%)
기아,,9.35 (1%),11.23 (1%),,,,7.72 (1%),8.52 (1%),,5.03 (1%),7.72 (1%),7.62 (1%),,3.69 (1%)
기아자동차,1.39 (0%),2.16 (0%),4.91 (0%),,,2.18 (0%),2.10 (0%),2.84 (0%),,,4.91 (1%),4.16 (1%),,
네이버,,7.91 (1%),7.72 (1%),,,,4.91 (1%),16.34 (1%),5.30 (2%),,16.84 (2%),18.71 (2%),,9.59 (1%)
디지타임스,,3.60 (0%),2.81 (0%),,,,2.10 (0%),3.55 (0%),,,3.51 (0%),1.39 (0%),1.46 (0%),0.74 (0%)
레노버,,0.72 (0%),1.40 (0%),,,,0.70 (0%),1.42 (0%),0.76 (0%),,0.70 (0%),,0.73 (0%),
마이크로소프트,,10.07 (1%),9.82 (1%),,,5.10 (1%),9.82 (1%),7.81 (1%),3.03 (1%),,11.23 (1%),11.78 (1%),,
메타,,25.17 (2%),17.54 (2%),,,,26.66 (3%),56.82 (5%),,23.01 (3%),21.75 (3%),27.03 (3%),,42.04 (6%)
미디어텍,,,2.10 (0%),,1.56 (2%),0.73 (0%),1.40 (0%),0.71 (0%),0.76 (0%),0.72 (0%),,,,0.74 (0%)
벤츠,,4.31 (0%),5.61 (1%),,,,2.10 (0%),7.10 (1%),,2.16 (0%),7.72 (1%),4.16 (1%),,1.48 (0%)
비보,,18.65 (1%),10.11 (1%),,,,17.18 (1%),10.23 (1%),,5.18 (0%),4.04 (0%),,6.29 (1%),4.25 (0%)
삼성디스플레이,,88.45 (8%),75.07 (7%),,,42.97 (9%),47.71 (5%),82.39 (7%),,64.72 (9%),,34.66 (4%),40.05 (9%),
삼성전자,175.39 (31%),242.62 (12%),235.47 (13%),,,,216.98 (14%),237.13 (11%),,232.51 (18%),,196.10 (14%),,226.82 (20%)
샤오미,,38.83 (3%),32.97 (3%),,,,40.69 (5%),43.32 (4%),,17.98 (2%),14.73 (2%),18.71 (2%),,16.96 (3%)
샤오펑,,3.60 (0%),5.61 (1%),,,,,3.55 (0%),,1.44 (0%),2.81 (0%),4.16 (1%),1.46 (0%),2.21 (0%)
샤프,,10.07 (1%),4.21 (0%),,,,6.31 (1%),6.39 (1%),,2.88 (0%),1.40 (0%),1.39 (0%),2.91 (1%),
선익시스템,,5.03 (0%),4.91 (0%),,,,7.02 (1%),8.52 (1%),1.51 (1%),4.31 (1%),,2.77 (0%),2.91 (1%),
소니,,7.91 (1%),8.42 (1%),,,4.37 (1%),3.51 (0%),10.65 (1%),,3.60 (0%),6.31 (1%),6.24 (1%),,
아마존,,3.60 (0%),7.02 (1%),,,5.83 (1%),4.21 (0%),7.10 (1%),,,7.72 (1%),15.25 (2%),,3.69 (1%)
알파벳,,9.35 (1%),7.72 (1%),,,4.37 (1%),8.42 (1%),7.10 (1%),,,7.02 (1%),8.32 (1%),2.91 (1%),
애플,,106.47 (9%),81.77 (8%),,,,100.92 (11%),113.35 (9%),,62.67 (8%),73.67 (9%),64.77 (8%),,92.94 (13%)
엔비디아,,13.43 (1%),17.73 (2%),,,9.60 (2%),10.02 (1%),15.61 (1%),,7.11 (1%),12.33 (1%),17.52 (2%),,
오포,,16.54 (1%),9.12 (1%),,,,14.73 (2%),9.94 (1%),,5.75 (1%),4.91 (1%),,6.55 (2%),2.95 (0%)
원익IPS,,5.03 (0%),7.02 (1%),,,3.64 (1%),4.21 (0%),5.68 (0%),,5.03 (1%),,3.47 (0%),2.91 (1%),
