org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,347.58 (1%),372.36 (1%),,402.64 (2%),103.61 (2%),67.38 (1%),64.16 (1%),54.55 (2%),,94.00 (2%),
ASUS,143.16 (1%),145.92 (1%),,149.36 (1%),14.70 (0%),21.47 (0%),14.92 (0%),13.64 (0%),,19.40 (0%),
AUO,61.95 (0%),64.01 (0%),,48.87 (0%),6.61 (0%),11.11 (0%),7.46 (0%),,4.93 (0%),8.95 (0%),
Acer,89.48 (0%),89.48 (0%),,75.02 (0%),5.14 (0%),11.11 (0%),5.22 (0%),10.61 (0%),,5.97 (0%),
BMW,136.97 (1%),139.72 (1%),24.05 (1%),141.79 (1%),34.54 (1%),27.39 (0%),161.90 (3%),,,44.76 (1%),
BOE,1092.99 (4%),913.35 (3%),,517.59 (2%),77.89 (1%),113.28 (2%),72.37 (1%),103.05 (3%),,105.94 (2%),
BYD,166.56 (1%),155.55 (1%),17.07 (1%),136.97 (1%),,17.77 (0%),123.85 (2%),,,22.38 (1%),19.40 (1%)
Bosch,2.06 (0%),2.75 (0%),,3.44 (0%),,2.22 (0%),,,,,
CES,286.32 (1%),336.57 (1%),,278.75 (1%),45.56 (1%),100.69 (2%),64.91 (1%),,23.84 (1%),35.81 (1%),
CSOT,580.91 (2%),473.54 (2%),,227.82 (1%),39.68 (1%),79.96 (1%),31.33 (1%),55.31 (2%),,54.46 (1%),
Continental,4.82 (0%),5.51 (0%),1.55 (0%),3.44 (0%),,2.22 (0%),3.73 (0%),1.52 (0%),,2.24 (0%),
Corning,6.19 (0%),6.19 (0%),,5.51 (0%),0.73 (0%),1.48 (0%),,,0.82 (0%),0.75 (0%),
Counterpoint,5.51 (0%),7.57 (0%),0.78 (0%),2.75 (0%),2.20 (0%),1.48 (0%),1.49 (0%),0.76 (0%),,,
Cybersecurity,2.75 (0%),2.75 (0%),,4.82 (0%),,,,0.76 (0%),,0.75 (0%),
DELL,7.57 (0%),11.70 (0%),,17.90 (0%),1.47 (0%),2.22 (0%),1.49 (0%),2.27 (0%),,,0.78 (0%)
DSCC,4.82 (0%),4.13 (0%),,2.75 (0%),,1.48 (0%),,,,,
Dell,195.47 (1%),183.08 (1%),,223.00 (1%),17.64 (0%),41.46 (1%),23.87 (0%),,22.19 (1%),21.64 (0%),
ETRI,68.14 (0%),84.66 (0%),7.76 (0%),104.62 (0%),7.35 (0%),8.88 (0%),8.95 (0%),,,,10.86 (1%)
HMI,19.27 (0%),20.65 (0%),,22.71 (0%),2.20 (0%),5.92 (0%),13.43 (0%),1.52 (0%),,5.97 (0%),
HP,242.96 (1%),247.09 (1%),,226.44 (1%),80.83 (1%),34.80 (1%),18.65 (0%),21.22 (1%),,39.54 (1%),
Harman,46.11 (0%),44.74 (0%),,44.74 (0%),7.35 (0%),,13.43 (0%),21.22 (1%),,16.41 (0%),3.88 (0%)
IEC,49.56 (0%),57.82 (0%),,64.70 (0%),10.29 (0%),17.03 (0%),12.68 (0%),,11.51 (1%),20.14 (0%),
IEEE,24.09 (0%),35.10 (0%),,41.99 (0%),,6.66 (0%),2.24 (0%),1.52 (0%),,2.24 (0%),1.55 (0%)
IMID,64.70 (0%),56.44 (0%),,46.80 (0%),3.67 (0%),5.18 (0%),2.98 (0%),3.03 (0%),,6.71 (0%),
ITU,45.43 (0%),48.87 (0%),,35.79 (0%),8.08 (0%),14.81 (0%),1.49 (0%),,6.58 (0%),0.75 (0%),
