term,cur,prev,diff,ma7,z_like,total
스마트폰,9,6,3,3.714,1.806,63
올레드,7,0,7,3.286,1.321,33
tv,16,2,14,11.286,1.081,189
양산,2,0,2,0.429,0.95,8
스마트워치,1,0,1,0.143,0.622,3
xr,3,1,2,1.857,0.484,112
hp,1,0,1,0.286,0.465,16
구글,1,0,1,0.286,0.465,30
기아,1,0,1,0.286,0.465,10
메타,1,0,1,0.286,0.465,11
하이센스,1,0,1,0.286,0.465,3
lg디스플레이,2,0,2,1.143,0.414,81
스트레처블,1,0,1,0.429,0.345,3
현대모비스,3,0,3,2.286,0.284,31
갤럭시,3,8,-5,2.571,0.165,74
삼성디스플레이,1,0,1,0.714,0.155,34
인텔,1,2,-1,1.143,-0.069,47
모바일,1,1,0,1.429,-0.195,19
엔비디아,3,5,-2,3.571,-0.198,148
레노버,1,0,1,1.714,-0.309,37
디스플레이,3,2,1,4.143,-0.377,122
아이폰,2,3,-1,3.429,-0.501,64
ar,1,6,-5,2.286,-0.512,35
노트북,2,2,0,3.857,-0.627,66
애플,7,5,2,10.0,-0.721,210
모니터,1,2,-1,5.571,-1.36,88
lg전자,2,4,-2,7.429,-1.457,201
oled,1,2,-1,7.0,-1.646,207
삼성전자,5,16,-11,20.571,-2.813,524
