term,cur,diff,z_like
엔비디아,50,37,9.03
oled,37,34,3.47
인텔,12,9,3.29
양산,13,13,3.17
nvidia,5,4,2.15
cvd,4,4,1.95
삼성전자,23,17,1.82
공급망,6,4,1.75
애플,8,6,1.68
