term,cur,prev,diff,ma7,z_like,total
hp,5,1,4,1.143,1.864,19
sk하이닉스,5,1,4,1.429,1.627,41
스마트폰,6,5,1,2.286,1.479,82
아이폰,8,7,1,3.714,1.464,78
현대모비스,4,2,2,1.143,1.381,48
폴더블,7,1,6,3.429,1.252,80
화웨이,3,0,3,0.714,1.239,12
8k,2,0,2,0.286,1.117,4
공급망,3,0,3,1.0,1.0,34
애플,12,17,-5,8.429,0.915,215
구글,4,3,1,2.286,0.682,37
byd,1,0,1,0.143,0.622,13
ltpo,1,0,1,0.143,0.622,1
qled,1,0,1,0.143,0.622,5
비보북,1,0,1,0.143,0.622,1
수율,1,0,1,0.143,0.622,3
하이센스,1,0,1,0.143,0.622,4
lcd,1,1,0,0.286,0.465,17
xr,5,2,3,3.714,0.439,97
ar,2,0,2,1.143,0.414,36
저전력,1,0,1,0.429,0.345,9
vr,1,0,1,0.571,0.244,13
아이패드,1,2,-1,0.571,0.244,12
boe,2,1,1,1.857,0.06,39
벤츠,1,0,1,1.0,0.0,155
마이크로소프트,1,1,0,1.0,0.0,9
노트북,2,2,0,2.143,-0.058,99
갤럭시,1,0,1,1.143,-0.069,74
tv,5,5,0,5.286,-0.087,218
oled,7,17,-10,8.429,-0.366,251
엔비디아,3,3,0,4.571,-0.501,236
lg디스플레이,1,2,-1,2.429,-0.558,116
디스플레이,4,5,-1,7.143,-0.856,205
lg전자,4,3,1,7.286,-0.888,197
삼성디스플레이,1,12,-11,5.857,-1.42,116
삼성전자,9,31,-22,19.0,-1.866,488
