term,cur,prev,diff,ma7,z_like,total
현대모비스,7,0,7,1.0,3.0,21
lg디스플레이,4,0,4,1.143,1.381,110
모니터,7,5,2,4.0,1.0,117
오포,2,0,2,0.571,0.814,7
갤럭시,12,2,10,9.143,0.71,235
구글,3,3,0,1.571,0.634,64
4k,1,0,1,0.143,0.622,3
bmw,1,0,1,0.143,0.622,5
설비투자,1,0,1,0.143,0.622,13
텐센트,1,0,1,0.143,0.622,1
모바일,5,4,1,3.429,0.551,52
boe,1,0,1,0.286,0.465,43
asus,1,1,0,0.429,0.345,12
벤츠,1,0,1,0.571,0.244,19
폴더블,2,1,1,1.571,0.19,51
lcd,1,1,0,0.714,0.155,62
한미반도체,1,1,0,1.0,0.0,32
화웨이,1,0,1,1.143,-0.069,11
노트북,4,3,1,4.286,-0.093,112
sk하이닉스,2,0,2,2.286,-0.114,57
xr,3,4,-1,3.714,-0.244,89
tcl,5,32,-27,5.857,-0.251,87
엔비디아,2,8,-6,2.857,-0.319,114
아이폰,1,0,1,1.857,-0.363,53
tv,6,21,-15,7.429,-0.383,299
디스플레이,6,4,2,7.714,-0.454,235
레노버,3,1,2,4.571,-0.501,52
qled,3,30,-27,4.714,-0.541,37
lg전자,3,7,-4,6.0,-0.87,205
맥북,3,8,-5,6.143,-0.904,63
스마트폰,2,4,-2,5.0,-0.927,95
삼성전자,5,8,-3,12.857,-1.713,388
애플,2,13,-11,11.0,-2.085,217
oled,2,2,0,12.429,-2.304,335
