term,cur,prev,diff,total,ma7,z_like
현대모비스,5,0,5,25,0.714,2.323
tsmc,5,0,5,19,1.0,2.0
삼성디스플레이,4,0,4,36,0.857,1.632
samsung,3,0,3,6,0.429,1.554
아이폰,6,2,4,40,2.714,1.241
asus,2,0,2,2,0.286,1.117
galaxy,2,0,2,2,0.286,1.117
세미파이브,2,0,2,2,0.286,1.117
sk하이닉스,3,1,2,30,0.857,1.113
공급망,3,0,3,16,1.143,0.898
비전프로,2,2,0,7,0.571,0.814
ar,3,0,3,36,1.286,0.803
lg디스플레이,3,2,1,84,1.429,0.716
z플립,1,0,1,1,0.143,0.622
lg화학,1,0,1,5,0.143,0.622
증강현실,1,0,1,9,0.143,0.622
필립스,1,1,0,2,0.286,0.465
고효율,1,0,1,4,0.429,0.345
양산,1,1,0,23,0.429,0.345
hp,1,1,0,4,0.571,0.244
패널,1,1,0,16,1.429,-0.195
