term,cur,prev,diff,total,ma7,z_like
벤츠,44,32,12,128,13.143,6.671
삼성전자,29,7,22,541,11.714,3.908
디스플레이,13,18,-5,156,7.0,1.646
tv,13,5,8,220,8.429,1.171
애플,10,3,7,233,6.286,1.059
레노버,7,0,7,45,1.429,2.538
폴더블,6,5,1,82,4.571,0.455
갤럭시,6,11,-5,101,5.714,0.084
삼성디스플레이,4,1,3,41,1.143,1.381
모니터,4,2,2,98,2.286,0.682
lg전자,3,3,0,203,3.714,-0.244
xr,3,15,-12,136,4.429,-0.46
필립스,2,0,2,6,0.286,1.117
양산,2,1,1,12,0.857,0.593
모바일,2,3,-1,28,1.571,0.19
아이폰,2,1,1,67,2.143,-0.058
노트북,2,5,-3,86,3.714,-0.586
oled,2,6,-4,233,5.0,-0.927
엔비디아,2,6,-4,181,6.143,-1.191
고성능,1,0,1,24,0.143,0.622
태블릿,1,0,1,17,0.143,0.622
bmw,1,1,0,11,0.286,0.465
선익시스템,1,1,0,7,0.286,0.465
소니,1,1,0,6,0.286,0.465
udc,1,0,1,2,0.286,0.465
lcd,1,1,0,18,0.571,0.244
공급망,1,0,1,33,0.857,0.074
샤오미,1,2,-1,27,1.0,0.0
구글,1,0,1,36,1.143,-0.069
