term,cur,prev,diff,total,ma7,z_like
oled,44,2,42,367,19.857,4.425
삼성디스플레이,31,0,31,129,9.286,5.365
삼성전자,9,8,1,457,12.857,-0.841
lg전자,7,3,4,297,6.143,0.246
디스플레이,5,1,4,207,7.714,-0.719
tv,5,4,1,302,8.571,-0.909
엔비디아,4,0,4,60,1.0,1.5
레노버,4,0,4,66,1.143,1.381
노트북,4,0,4,77,3.0,0.366
그램,3,2,1,26,3.571,-0.198
amd,2,1,1,18,0.571,0.814
공급망,2,0,2,13,0.571,0.814
ar,2,0,2,37,0.857,0.593
갤럭시,2,2,0,83,2.0,0.0
스마트폰,2,3,-1,110,2.571,-0.219
인텔,1,0,1,21,0.143,0.622
kaist,1,0,1,17,0.143,0.622
카카오,1,0,1,13,0.143,0.622
올레드tv,1,0,1,1,0.143,0.622
태블릿,1,0,1,8,0.286,0.465
sharp,1,0,1,5,0.286,0.465
hp,1,0,1,37,0.429,0.345
tsmc,1,0,1,18,0.571,0.244
올레드,1,0,1,18,0.571,0.244
현대모비스,1,1,0,65,1.0,0.0
sk하이닉스,1,3,-2,42,1.0,0.0
양산,1,0,1,22,1.714,-0.309
모바일,1,1,0,69,2.429,-0.558
lg디스플레이,1,1,0,140,3.0,-0.732
애플,1,8,-7,153,4.0,-1.0
모니터,1,2,-1,191,4.143,-1.035
