term,cur,prev,diff,total,ma7,z_like
kaist,10,0,10,42,2.429,2.959
하이센스,8,0,8,35,1.714,2.722
ul,4,0,4,4,0.571,1.953
tcl,13,1,12,117,6.429,1.859
올레드,2,0,2,39,0.714,0.697
lg디스플레이,12,1,11,126,9.286,0.671
8k,1,0,1,1,0.143,0.622
galaxy,1,0,1,4,0.143,0.622
스마트폰,5,2,3,106,3.571,0.494
아이폰,3,0,3,57,1.857,0.484
meta,1,0,1,4,0.571,0.244
tsmc,1,0,1,27,0.714,0.155
삼성디스플레이,1,0,1,130,0.714,0.155
갤럭시,3,1,2,89,3.429,-0.15
노트북,4,0,4,150,4.571,-0.182
엔비디아,1,0,1,85,1.429,-0.195
oled,11,2,9,447,12.0,-0.224
구글,1,1,0,63,1.571,-0.254
고성능,1,1,0,32,1.714,-0.309
sk하이닉스,1,1,0,56,1.714,-0.309
모니터,1,1,0,120,2.714,-0.648
디스플레이,2,2,0,239,6.286,-1.222
삼성전자,10,3,7,463,21.143,-1.99
