term,cur,prev,diff,total,ma7,z_like
양산,5,1,4,17,1.286,1.741
인텔,5,1,4,66,1.857,1.33
sk하이닉스,5,2,3,47,2.0,1.243
cvd,2,0,2,2,0.286,1.117
스마트폰,4,2,2,76,1.857,0.907
nvidia,2,1,1,19,0.571,0.814
dell,1,0,1,2,0.143,0.622
주사율,1,0,1,2,0.143,0.622
모니터,4,0,4,107,2.429,0.614
qled,1,1,0,7,0.286,0.465
딥엑스,1,1,0,7,0.286,0.465
hp,1,0,1,19,0.286,0.465
아마존,1,0,1,25,0.286,0.465
amd,1,0,1,46,0.286,0.465
lcd,2,2,0,20,1.143,0.414
갤럭시,4,0,4,104,3.0,0.366
sharp,1,1,0,13,0.571,0.244
ar,1,0,1,40,0.571,0.244
삼성디스플레이,2,1,1,47,1.571,0.19
구글,1,1,0,35,0.857,0.074
lg전자,3,2,1,207,3.143,-0.052
asus,1,0,1,16,1.286,-0.134
올레드,1,0,1,43,1.286,-0.134
모바일,1,1,0,42,2.714,-0.648
