term,cur,prev,diff,ma7,z_like,total
벤츠,7,0,7,1.0,3.0,70
세미파이브,7,0,7,1.143,2.831,9
하이센스,3,0,3,0.429,1.554,13
nvidia,3,1,2,0.571,1.383,9
인텔,2,1,1,0.714,0.697,46
sk하이닉스,3,0,3,1.571,0.634,50
udc,3,8,-5,1.571,0.634,12
kaist,1,0,1,0.143,0.622,26
lg화학,1,0,1,0.143,0.622,5
meta,1,0,1,0.143,0.622,1
ppi,1,0,1,0.143,0.622,6
노광기,1,0,1,0.143,0.622,1
벤큐,1,0,1,0.143,0.622,2
오포,1,0,1,0.143,0.622,4
패드,1,0,1,0.143,0.622,1
카카오,2,1,1,0.857,0.593,15
디스플레이,15,27,-12,12.571,0.534,209
양산,1,0,1,0.286,0.465,20
intel,1,1,0,0.286,0.465,4
아이맥,1,1,0,0.429,0.345,3
아이폰,5,4,1,4.286,0.233,83
도우인시스,1,4,-3,0.714,0.155,6
엔비디아,2,3,-1,1.714,0.124,82
소니,1,0,1,1.0,0.0,12
모니터,3,5,-2,3.143,-0.052,95
올레드,1,1,0,1.143,-0.069,19
tcl,1,2,-1,1.143,-0.069,11
갤럭시,3,2,1,3.571,-0.198,94
스마트폰,3,1,2,3.857,-0.289,109
애플,4,6,-2,5.0,-0.309,211
xr,2,5,-3,2.857,-0.319,106
구글,1,1,0,2.286,-0.512,74
노트북,1,3,-2,2.286,-0.512,92
폴더블,1,3,-2,2.286,-0.512,102
boe,4,4,0,5.857,-0.543,69
tv,10,15,-5,14.0,-0.844,263
모바일,1,1,0,3.571,-0.89,49
lg디스플레이,1,1,0,4.286,-1.07,117
lg전자,7,9,-2,12.0,-1.12,322
삼성전자,7,15,-8,13.714,-1.428,380
oled,3,7,-4,10.857,-1.829,282
