term,cur,prev,diff,total,ma7,z_like
lg전자,38,8,30,209,9.571,6.944
tv,31,7,24,298,8.571,5.71
삼성전자,26,26,0,521,15.143,2.22
모니터,25,13,12,165,8.714,4.121
퀄컴,18,3,15,70,5.429,3.775
벤츠,16,1,15,34,2.571,5.158
올레드,15,1,14,24,2.571,4.774
uhd,12,0,12,14,1.857,4.293
sk하이닉스,7,2,5,72,3.0,1.464
샤오미,6,0,6,46,1.143,2.348
tcl,6,1,5,73,2.286,1.479
기아,5,1,4,20,1.429,1.627
스마트폰,5,2,3,117,3.0,0.732
디스플레이,5,5,0,254,6.714,-0.477
oled,5,5,0,340,8.286,-0.847
asus,4,7,-3,25,1.857,0.907
갤럭시,4,5,-1,239,2.857,0.425
xr,4,5,-1,121,3.0,0.366
노트북,3,3,0,134,5.571,-0.765
애플,3,12,-9,266,9.286,-1.553
필립스,2,0,2,8,0.286,1.117
고성능,2,0,2,19,0.857,0.593
공급망,2,1,1,36,1.0,0.5
구글,2,1,1,51,1.286,0.335
현대모비스,2,0,2,31,1.429,0.26
삼성디스플레이,2,13,-11,82,4.571,-0.819
아이폰,2,9,-7,107,5.286,-0.996
hp,1,0,1,46,0.286,0.465
원익ips,1,1,0,4,0.286,0.465
오포,1,1,0,15,0.429,0.345
수율,1,0,1,5,0.429,0.345
csot,1,0,1,4,0.429,0.345
boe,1,1,0,22,0.714,0.155
메타,1,0,1,20,0.857,0.074
인텔,1,0,1,33,1.143,-0.069
bmw,1,3,-2,15,1.286,-0.134
모바일,1,2,-1,62,2.571,-0.604
vr,1,3,-2,44,3.0,-0.732
엔비디아,1,1,0,203,3.286,-0.813
폴더블,1,5,-4,100,4.714,-1.171
양산,1,2,-1,62,7.286,-1.699
lg디스플레이,1,3,-2,156,8.714,-1.952
