term,cur,prev,diff,ma7,z_like,total,date
레노버,15,0,15,2.571,4.774,71,2025-11-28
lg디스플레이,13,1,12,3.143,3.555,127,2025-11-28
lg전자,20,4,16,8.143,3.077,213,2025-11-28
kaist,8,0,8,1.714,2.722,22,2025-11-28
폴더블,9,7,2,3.0,2.196,86,2025-11-28
스마트폰,8,6,2,3.0,1.83,84,2025-11-28
아이패드,4,1,3,1.0,1.5,16,2025-11-28
sk하이닉스,5,5,0,1.857,1.33,45,2025-11-28
카카오,2,0,2,0.286,1.117,9,2025-11-28
ar,4,2,2,1.714,0.99,39,2025-11-28
oled,10,7,3,6.714,0.915,250,2025-11-28
화웨이,3,3,0,1.143,0.898,14,2025-11-28
lcd,2,1,1,0.571,0.814,19,2025-11-28
hp,3,5,-2,1.286,0.803,21,2025-11-28
dell,1,0,1,0.143,0.622,3,2025-11-28
도우인시스,1,0,1,0.143,0.622,2,2025-11-28
설비투자,1,0,1,0.143,0.622,2,2025-11-28
폭스바겐,1,0,1,0.143,0.622,1,2025-11-28
해상도,1,0,1,0.143,0.622,3,2025-11-28
메타,2,0,2,0.857,0.593,15,2025-11-28
샤오미,1,0,1,0.286,0.465,27,2025-11-28
선익시스템,1,0,1,0.286,0.465,4,2025-11-28
하이센스,1,1,0,0.286,0.465,4,2025-11-28
lg화학,1,0,1,0.429,0.345,17,2025-11-28
구글,3,4,-1,2.429,0.223,39,2025-11-28
asus,1,0,1,0.714,0.155,20,2025-11-28
아이폰,4,8,-4,3.571,0.148,80,2025-11-28
애플,10,12,-2,9.429,0.14,222,2025-11-28
엔비디아,3,3,0,2.714,0.108,221,2025-11-28
tsmc,1,0,1,1.0,0.0,11,2025-11-28
갤럭시,1,1,0,1.0,0.0,69,2025-11-28
xr,3,5,-2,3.0,0.0,93,2025-11-28
디스플레이,6,4,2,6.286,-0.081,202,2025-11-28
모니터,1,0,1,1.429,-0.195,94,2025-11-28
tv,3,5,-2,4.714,-0.541,207,2025-11-28
삼성전자,4,9,-5,15.571,-2.34,477,2025-11-28
삼성디스플레이,23,0,23,5.714,5.098,139,2025-11-29
벤츠,7,0,7,1.286,2.678,160,2025-11-29
스마트워치,5,0,5,0.714,2.323,8,2025-11-29
태블릿,5,0,5,0.714,2.323,13,2025-11-29
xr,9,3,6,3.857,1.735,93,2025-11-29
sharp,2,0,2,0.429,0.95,10,2025-11-29
하이센스,2,1,1,0.571,0.814,6,2025-11-29
etri,1,0,1,0.143,0.622,1,2025-11-29
hud,1,0,1,0.143,0.622,1,2025-11-29
woled,1,0,1,0.143,0.622,1,2025-11-29
고해상도,1,0,1,0.143,0.622,2,2025-11-29
생산량,1,0,1,0.143,0.622,1,2025-11-29
주사율,1,0,1,0.143,0.622,3,2025-11-29
hp,3,3,0,1.714,0.557,23,2025-11-29
인텔,2,0,2,1.0,0.5,41,2025-11-29
스마트폰,5,8,-3,3.571,0.494,86,2025-11-29
아마존,1,0,1,0.286,0.465,19,2025-11-29
샤오미,1,1,0,0.286,0.465,28,2025-11-29
공급망,2,0,2,1.286,0.335,35,2025-11-29
lg디스플레이,4,13,-9,3.143,0.309,127,2025-11-29
oled,8,10,-2,7.0,0.274,253,2025-11-29
vr,1,0,1,0.571,0.244,14,2025-11-29
lg화학,1,1,0,0.571,0.244,18,2025-11-29
고성능,1,0,1,0.714,0.155,15,2025-11-29
양산,1,0,1,0.714,0.155,21,2025-11-29
asus,1,1,0,0.714,0.155,19,2025-11-29
lg전자,9,20,-11,8.714,0.072,217,2025-11-29
sk하이닉스,2,5,-3,1.857,0.06,42,2025-11-29
tsmc,1,1,0,1.0,0.0,11,2025-11-29
현대모비스,1,0,1,1.286,-0.134,43,2025-11-29
모니터,1,1,0,1.286,-0.134,95,2025-11-29
구글,2,3,-1,2.429,-0.168,39,2025-11-29
tv,4,3,1,4.571,-0.182,205,2025-11-29
노트북,1,0,1,1.571,-0.254,96,2025-11-29
애플,9,10,-1,10.286,-0.306,224,2025-11-29
kaist,1,8,-7,1.857,-0.363,21,2025-11-29
폴더블,2,9,-7,3.143,-0.412,87,2025-11-29
삼성전자,11,4,7,13.143,-0.463,471,2025-11-29
엔비디아,1,3,-2,2.429,-0.558,207,2025-11-29
레노버,1,15,-14,2.714,-0.648,72,2025-11-29
아이폰,1,4,-3,3.714,-0.927,79,2025-11-29
디스플레이,2,6,-4,5.857,-1.128,196,2025-11-29
인텔,6,2,4,1.857,1.753,47,2025-11-30
퀄컴,2,0,2,0.714,0.697,34,2025-11-30
노트북,3,1,2,1.714,0.557,98,2025-11-30
모니터,3,1,2,1.714,0.557,98,2025-11-30
bmw,1,0,1,0.286,0.465,16,2025-11-30
byd,1,0,1,0.286,0.465,14,2025-11-30
기아,1,0,1,0.286,0.465,31,2025-11-30
폭스바겐,1,0,1,0.286,0.465,2,2025-11-30
샤오미,1,1,0,0.429,0.345,29,2025-11-30
공급망,2,2,0,1.429,0.26,34,2025-11-30
