cluster_id,keywords
0,미국
1,"애플, 폴더블, 경험, 공간, 솔루션, 벤츠, 협력사, 프리미엄, 게임, 넘어, 시청, 탑재, 신규, 위원장, 실시간, 계획, 코리아, 최고기술책임자, 엔비디아, 아우디, 디스플레이, 위해, 파워샷, 검증, 관람객, 이상, 선택, 퀀텀뷰, 렌즈, 6세대, 라인, 기념, 시간, 생태계, 기회, 집중, 한층, 대형, 시야각, 마이크, 지원, 카메라, 역할"
2,중국
3,노트북
4,"스마트폰, 갤럭시, 삼성"
5,베트남
6,"모니터, 설계, 정보, 유럽, 구글, 개발, 노조, 그룹, 사용자, 소비, 인프라, 과정, 인도, 투자, 소재, 전기차, 전문위원회, 밀라노, 펀드, 스크린, 엔진, 상품, 시스템, 주방, 회사, 가격"
7,반도체
