org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,670.61 (2%),574.42 (2%),142.79 (3%),222.13 (2%),829.34 (6%),174.52 (2%),,215.75 (2%),180.91 (2%),,
ASE,72.83 (0%),71.46 (0%),8.32 (0%),,15.80 (0%),17.86 (0%),9.79 (0%),23.36 (0%),19.41 (0%),,
ASUS,267.28 (1%),178.65 (0%),53.37 (1%),63.36 (1%),290.65 (2%),42.60 (0%),,57.03 (1%),,,24.88 (1%)
AUO,126.43 (0%),112.00 (0%),,14.95 (0%),30.23 (0%),18.55 (0%),10.49 (0%),40.54 (0%),40.90 (0%),,
Acer,92.07 (0%),74.21 (0%),18.02 (0%),28.48 (0%),109.94 (1%),9.62 (0%),11.89 (0%),,,,13.91 (1%)
Amkor,19.93 (0%),17.86 (0%),,,4.81 (0%),5.50 (0%),2.10 (0%),6.87 (0%),7.62 (0%),2.12 (0%),
Apple,83.83 (0%),65.27 (0%),17.33 (0%),,28.17 (0%),53.59 (1%),11.19 (0%),24.74 (0%),24.26 (0%),,
BMW,528.38 (1%),461.73 (1%),,125.30 (1%),103.07 (1%),75.58 (1%),,172.46 (2%),124.07 (1%),59.27 (1%),
BOE,805.97 (2%),685.73 (2%),,118.90 (1%),152.54 (1%),238.43 (3%),173.43 (3%),221.25 (2%),210.02 (2%),,
BYD,296.83 (1%),250.11 (1%),,52.68 (1%),68.71 (1%),57.03 (1%),49.65 (1%),101.69 (1%),54.76 (0%),,
Bosch,11.68 (0%),10.31 (0%),,2.14 (0%),3.44 (0%),2.75 (0%),,3.44 (0%),,2.82 (0%),2.20 (0%)
CSOT,258.35 (1%),253.54 (1%),,27.77 (0%),53.59 (0%),75.58 (1%),69.93 (1%),60.47 (1%),71.39 (1%),,
Continental,18.55 (0%),20.61 (0%),,4.27 (0%),2.75 (0%),4.81 (0%),,8.25 (0%),3.47 (0%),,2.20 (0%)
Corning,7.56 (0%),5.50 (0%),1.39 (0%),,4.12 (0%),2.06 (0%),,,0.69 (0%),0.71 (0%),1.46 (0%)
Dell,399.21 (1%),294.08 (1%),106.05 (2%),68.35 (1%),252.17 (2%),52.91 (1%),41.26 (1%),93.45 (1%),,,
ETRI,180.71 (0%),145.67 (0%),19.41 (0%),17.80 (0%),31.61 (0%),,19.58 (0%),63.90 (1%),26.34 (0%),,
HP,436.31 (1%),337.37 (1%),85.26 (2%),247.05 (3%),316.07 (2%),171.09 (2%),,101.00 (1%),63.77 (1%),,
Harman,120.24 (0%),102.38 (0%),,12.10 (0%),15.80 (0%),14.43 (0%),,26.80 (0%),39.51 (0%),12.70 (0%),
Innolux,107.88 (0%),89.32 (0%),10.40 (0%),17.80 (0%),19.24 (0%),16.49 (0%),,40.54 (0%),27.03 (0%),,
JDI,102.38 (0%),98.26 (0%),,,32.29 (0%),37.79 (0%),13.99 (0%),19.93 (0%),26.34 (0%),8.47 (0%),
KAIST,368.29 (1%),285.84 (1%),,76.89 (1%),68.71 (1%),,44.06 (1%),83.83 (1%),60.30 (1%),49.39 (1%),
LG디스플레이,1687.53 (4%),1616.76 (4%),,227.83 (2%),378.59 (3%),384.09 (4%),205.59 (3%),450.05 (4%),434.60 (4%),,
LG전자,2824.69 (7%),2729.18 (7%),,1144.11 (12%),778.49 (6%),390.28 (4%),327.97 (5%),798.42 (7%),759.69 (7%),,
