term,cur,prev,diff,ma7,z_like,total
엔비디아,21,3,18,6.286,4.196,169
인텔,5,1,4,1.714,1.423,52
노트북,8,2,6,4.286,1.21,74
sk하이닉스,2,0,2,0.571,0.814,37
스마트폰,7,9,-2,4.714,0.721,70
오포,1,0,1,0.143,0.622,2
oled,8,1,7,6.0,0.58,215
tsmc,1,0,1,0.286,0.465,10
한미반도체,1,0,1,0.286,0.465,3
hp,1,1,0,0.286,0.465,17
xr,3,3,0,2.143,0.348,114
lcd,1,0,1,0.429,0.345,16
구글,1,1,0,0.429,0.345,31
양산,1,2,-1,0.429,0.345,9
lg디스플레이,2,2,0,1.286,0.335,83
모바일,2,1,1,1.714,0.124,21
삼성디스플레이,1,1,0,0.857,0.074,35
amd,1,0,1,1.143,-0.069,45
갤럭시,2,3,-1,2.571,-0.219,76
boe,1,0,1,1.714,-0.309,23
디스플레이,3,3,0,4.143,-0.377,125
모니터,2,1,1,3.286,-0.457,90
아이폰,2,2,0,3.286,-0.457,62
ar,1,1,0,2.143,-0.464,36
tv,8,16,-8,10.429,-0.574,196
올레드,1,7,-6,3.286,-0.813,34
맥북,1,0,1,3.429,-0.852,34
lg전자,3,2,1,7.571,-1.219,203
애플,4,7,-3,9.571,-1.361,212
삼성전자,6,5,1,16.286,-2.043,522
