term,cur,prev,diff,total,ma7,z_like
레노버,13,2,11,51,4.143,2.918
lcd,4,0,4,17,0.857,1.632
비디오월,2,0,2,2,0.286,1.117
tv,6,3,3,127,3.714,0.781
아이폰,3,1,2,80,1.429,0.716
화웨이,2,2,0,8,0.714,0.697
tsmc,2,2,0,19,0.714,0.697
sk하이닉스,5,2,3,127,3.143,0.67
스마트워치,1,0,1,2,0.143,0.622
고효율,1,0,1,3,0.143,0.622
생산량,1,0,1,4,0.143,0.622
공급망,2,0,2,41,1.0,0.5
벤츠,1,1,0,6,0.286,0.465
하이센스,1,1,0,9,0.286,0.465
bmw,1,0,1,10,0.286,0.465
etri,1,0,1,16,0.286,0.465
hp,3,1,2,45,2.0,0.414
고성능,1,0,1,9,0.429,0.345
태블릿,1,0,1,10,0.429,0.345
스마트폰,3,2,1,105,2.571,0.165
구글,3,1,2,54,2.714,0.108
nvidia,1,1,0,7,0.857,0.074
맥북,1,0,1,18,0.857,0.074
노트북,2,2,0,99,1.857,0.06
xr,2,2,0,93,2.0,0.0
모바일,1,0,1,49,1.0,0.0
퀄컴,1,1,0,28,1.714,-0.309
삼성디스플레이,2,0,2,86,3.429,-0.501
amd,1,1,0,29,2.429,-0.558
