term,cur,prev,diff,total,ma7,z_like
구글,8,3,5,66,3.0,1.83
패드,2,0,2,2,0.286,1.117
벤큐,3,1,2,16,0.857,1.113
xr,4,2,2,85,1.714,0.99
태블릿,2,1,1,9,0.429,0.95
샤오미,2,0,2,12,0.429,0.95
디스플레이,6,3,3,278,3.571,0.84
삼성디스플레이,2,1,1,79,0.571,0.814
엔비디아,4,3,1,98,2.143,0.754
sharp,2,0,2,27,0.714,0.697
메이트북,1,0,1,1,0.143,0.622
fmm,1,0,1,2,0.143,0.622
apple,1,0,1,3,0.143,0.622
에어팟,1,1,0,2,0.286,0.465
딥엑스,1,0,1,5,0.286,0.465
스마트워치,1,0,1,6,0.286,0.465
화웨이,1,1,0,9,0.286,0.465
tsmc,1,0,1,24,0.286,0.465
byd,1,0,1,12,0.429,0.345
인텔,1,0,1,32,0.429,0.345
bmw,1,0,1,16,0.857,0.074
lg화학,1,0,1,19,1.0,0.0
공급망,3,3,0,53,3.429,-0.15
선익시스템,1,0,1,39,1.429,-0.195
퀄컴,1,1,0,38,1.714,-0.309
lg디스플레이,2,1,1,150,6.0,-1.16
