term,cur,diff,z_like
레노버,27,27,6.80
oled,27,26,5.18
엔비디아,21,20,4.94
lg디스플레이,19,11,4.89
bmw,8,8,2.99
byd,4,4,1.78
kaist,3,3,1.55
