term,cur,diff,z_like
삼성,43,37,7.21
lg,25,25,5.51
lg전자,24,23,5.13
삼성전자,33,22,4.81
애플,14,13,3.61
oled,15,10,3.49
맥북,6,6,2.50
현대차,5,5,2.15
갤럭시,4,4,1.63
아이폰,4,2,1.63
