term,cur,prev,diff,ma7,z_like,total
퀄컴,10,0,10,1.714,3.588,44
레노버,8,1,7,2.143,2.377,80
스마트폰,7,1,6,2.286,1.877,117
애플,16,4,12,9.0,1.75,249
구글,5,0,5,1.571,1.521,63
아이폰,8,1,7,3.714,1.464,86
샤오미,2,0,2,0.286,1.117,43
아마존,2,0,2,0.286,1.117,10
모니터,8,4,4,4.571,1.093,142
qled,2,0,2,0.429,0.95,40
마이크로소프트,1,0,1,0.143,0.622,4
올레드,1,0,1,0.143,0.622,7
저전력,1,0,1,0.143,0.622,4
폭스바겐,1,0,1,0.143,0.622,2
한화시스템,1,0,1,0.143,0.622,7
메타,2,2,0,1.0,0.5,24
apple,1,0,1,0.286,0.465,5
csot,1,0,1,0.286,0.465,2
oled,14,20,-6,12.143,0.414,384
kaist,1,0,1,0.429,0.345,24
tsmc,1,0,1,0.429,0.345,17
모바일,3,10,-7,2.714,0.108,62
tv,6,12,-6,5.857,0.042,336
공급망,2,1,1,2.0,0.0,37
맥북,1,0,1,1.0,0.0,90
디스플레이,7,18,-11,7.286,-0.077,310
노트북,3,7,-4,3.857,-0.289,132
폴더블,4,5,-1,5.0,-0.309,80
amd,1,3,-2,1.714,-0.309,33
vr,3,9,-6,4.0,-0.333,37
갤럭시,2,1,1,3.0,-0.366,243
lg전자,2,3,-1,3.0,-0.366,193
lg디스플레이,4,18,-14,5.714,-0.506,138
xr,4,4,0,5.857,-0.543,117
엔비디아,10,5,5,16.857,-1.343,222
삼성전자,6,30,-24,21.857,-2.794,521
