term,cur,prev,diff,ma7,z_like,total
올레드,43,15,28,8.714,8.676,67
lg전자,60,38,22,17.714,8.118,265
tv,53,31,22,14.429,8.038,332
oled,42,5,37,11.429,6.979,376
삼성디스플레이,18,2,16,5.143,3.935,99
씽크패드,6,0,6,0.857,2.67,6
소니,6,0,6,1.0,2.5,11
구글,8,2,6,2.429,2.178,59
lcd,7,0,7,2.0,2.071,38
올레드tv,4,0,4,0.571,1.953,5
인텔,5,1,4,1.714,1.423,37
tcl,5,6,-1,2.0,1.243,76
레노버,6,0,6,3.857,0.723,91
모니터,13,25,-12,10.0,0.721,175
dell,1,0,1,0.143,0.622,7
galaxy,1,0,1,0.143,0.622,4
google,1,0,1,0.143,0.622,2
공급망,2,2,0,1.143,0.414,36
xr,4,4,0,3.0,0.366,119
amd,1,0,1,0.429,0.345,31
qled,1,0,1,0.429,0.345,39
카카오,1,0,1,0.429,0.345,12
boe,1,1,0,0.429,0.345,21
아마존,1,0,1,0.714,0.155,7
고성능,1,2,-1,0.857,0.074,19
삼성전자,12,26,-14,12.571,-0.126,529
맥북,1,0,1,1.286,-0.134,94
모바일,1,1,0,1.286,-0.134,58
sk하이닉스,3,7,-4,3.429,-0.15,74
기아,1,5,-4,1.429,-0.195,20
asus,1,4,-3,2.0,-0.414,26
노트북,3,3,0,5.0,-0.618,128
엔비디아,1,1,0,2.714,-0.648,195
애플,7,3,4,9.714,-0.659,266
스마트폰,1,5,-4,3.0,-0.732,115
아이폰,2,2,0,5.429,-1.03,106
폴더블,1,1,0,4.143,-1.035,101
