org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
-OLED,2,5,13,5,5,2,6,15
0.3kg,5,1,1,0,0,1,1,0
0개,1,2,5,1,4,8,2,2
0시,7,0,4,2,0,0,1,1
1.2kg,8,0,2,1,2,0,1,0
100만,2,1,2,1,0,0,1,1
100여,11,6,10,8,10,11,6,3
10개,5,1,1,0,0,1,1,0
10년간,1,3,8,3,4,2,2,4
10회,0,0,6,6,10,6,2,2
110기가픽셀에,0,4,4,5,6,6,2,1
14.6인치,1,7,5,2,4,2,2,4
16의,2,4,3,2,10,4,5,0
16일부터,0,8,4,5,2,5,5,1
17은,2,4,3,2,10,4,5,0
17의,2,4,3,2,10,4,5,0
17이,2,4,3,2,10,4,5,0
19개,7,2,3,1,2,1,5,0
1분부터,7,0,4,2,0,0,1,1
1시까지,27,0,12,4,1,0,2,1
1위를,0,0,1,1,1,0,0,0
1일부터,2,9,6,13,11,21,12,3
1입,5,1,1,0,0,1,1,0
2021년부터,1,2,2,0,4,3,5,1
2030년까지,0,6,3,4,4,3,4,0
2030년에는,3,4,9,2,4,3,3,1
22일까지,0,8,4,5,2,5,5,1
24시간,6,2,4,1,1,2,5,2
24일이다.,0,8,4,5,2,5,5,1
2o,0,0,2,1,0,1,0,1
2사,0,0,2,0,2,0,1,0
2사분기,0,4,4,1,4,0,3,6
2차,4,1,2,1,4,1,2,2
2차전지,1,7,6,6,6,1,4,3
300은,3,1,4,2,1,0,0,0
34세,1,5,3,6,4,5,4,1
3500선을,0,3,1,2,1,1,6,1
3M,2,1,5,1,4,6,1,2
3a,0,1,0,0,0,1,1,0
3a1,0,1,0,0,0,1,1,0
3사분기,0,4,4,1,4,0,3,6
4K,0,1,7,1,5,2,1,3
4년만에,1,2,7,2,2,1,2,5
4일까지,15,7,7,9,10,15,10,2
500개,0,6,3,4,4,3,4,0
500니트,0,1,1,0,2,0,0,2
8.6G,0,6,5,4,2,1,2,6
8.6세대,1,3,7,4,3,1,3,8
8.9메가픽셀,0,8,8,10,11,11,4,1
84만,3,2,6,1,2,0,4,8
8세대급,0,7,7,4,2,2,4,6
8호,0,0,6,6,10,6,2,2
9시부터,27,0,12,4,1,0,2,1
9회말,0,0,2,0,2,0,1,0
AG,1,2,4,0,7,4,2,3
AI,12,63,38,46,34,57,60,17
AI를,0,6,3,4,4,3,4,0
AMD,0,0,2,0,0,1,0,1
AMOLED,1,2,5,3,5,2,2,2
AP시스템,0,7,7,4,2,2,4,6
AP시스템은,0,6,5,4,2,1,2,6
AP시스템이,0,7,7,4,2,2,4,6
AR,3,12,8,15,14,31,18,4
ASUS,0,1,5,1,5,1,1,2
Alt,0,1,5,1,5,1,1,2
Apple,1,4,4,0,2,1,3,8
Aqua-Pure,0,1,1,0,0,2,1,0
Aqua-PureTM,3,2,10,2,8,13,2,4
Aqua-pureTM,2,1,5,1,4,6,1,2
B12,1,5,5,4,3,0,2,5
B2B,3,4,6,2,2,1,2,4
BIPV,1,2,3,4,5,3,3,1
BOE,3,16,23,12,13,2,12,25
BOE가,1,3,7,4,3,1,3,8
BOE는,1,4,4,1,4,0,3,7
BOE의,4,19,23,8,19,1,14,33
BenQ,0,1,5,1,5,1,1,2
CEO,2,2,3,3,0,2,5,0
CES,2,4,10,12,4,2,2,4
CJ,2,2,3,3,0,2,5,0
CLENOX는,2,1,3,2,2,2,0,0
CSOT,0,12,21,13,7,5,7,13
CSO는,3,4,6,2,2,1,2,4
CVD,0,6,7,6,3,1,3,5
Carrier,1,18,12,5,6,9,3,5
DB,5,1,1,0,0,1,1,0
DCI-P3,0,1,5,1,5,1,1,2
DDR5,5,8,4,3,2,2,5,4
DLP,0,8,8,10,11,11,4,1
DLP991UUV는,0,8,8,10,11,11,4,1
DP,0,1,5,1,5,1,1,2
David,2,4,3,2,10,4,5,0
Digital,1,2,4,0,7,4,2,3
D램,5,8,4,3,2,2,5,4
EEPROM,0,8,6,3,2,2,2,2
ELA,0,13,12,8,4,3,6,12
FPCB,1,5,6,4,3,2,5,4
Flow,1,2,4,0,7,4,2,3
Foundry,2,4,3,2,10,4,5,0
G03-8236672469,1,4,4,0,2,1,3,8
GAME,0,0,6,6,10,6,2,2
Galaxy,1,4,4,0,2,1,3,8
Grey,1,2,4,0,7,4,2,3
HBM,6,18,9,10,7,7,10,5
HDMI,0,1,5,1,5,1,1,2
HDP,0,6,7,6,3,1,3,5
HDR,2,5,8,3,15,5,6,2
HUD,0,8,6,3,2,2,2,2
HYPE,0,0,1,1,1,0,0,0
He,2,3,4,2,6,5,3,1
Huawei,1,4,4,0,2,1,3,8
I.G.,0,0,6,6,10,6,2,2
IPO,3,4,6,2,2,1,2,4
Il,2,3,4,2,6,5,3,1
JY,1,10,5,7,5,5,5,1
Jang-wook,2,3,4,2,6,5,3,1
Jig까지,1,18,12,5,6,9,3,5
K-브랜드지수,2,2,3,3,0,2,5,0
K-브랜드지수는,2,2,3,3,0,2,5,0
KCC,0,0,1,0,3,0,3,1
KCC는,0,0,1,0,3,0,3,1
KS,0,0,0,0,3,1,0,1
KS라는,0,0,0,0,3,1,0,1
LCD,7,24,48,21,19,8,19,38
LED,6,7,22,3,10,4,8,10
LED가,3,4,9,2,4,3,3,1
LG,9,4,7,5,3,4,11,1
LGD,1,3,7,4,3,1,3,8
