cluster_id,keywords
0,"미국, 개발, 생산, 제조, 매출, 소재, 구글, 영업, 달러, 수출, 선물, 테크노플렉스, 브랜드, 분석, 시스템, 서비스"
1,"스마트폰, 삼성"
2,반도체
3,"디스플레이, 솔루션, 샤오미, 양산, 붉은사막, 전년, 오디세, 계획, 엔비디아, 메이플, 고성능, 공간, 한국타, 넥슨, 주석, 순천향대, 퀄컴, 픽티바, 쿠팡, 핵심, 게이밍, 지난달, 전기차, 박무빈, 연준, 축제, 폴더블, 때문, 김종서, 지속, 새마을금고, 게임"
4,"애플, 모니터, 노트북, 인텔"
5,특허
6,"중국, 홍콩"
7,골프
