term,cur,prev,diff,total,ma7,z_like
올레드,11,0,11,47,1.571,4.184
인텔,7,1,6,55,1.857,2.177
모니터,5,0,5,160,1.429,1.627
모바일,4,0,4,27,1.143,1.381
양산,3,3,0,49,0.857,1.113
갤럭시,4,2,2,51,1.571,1.078
sk하이닉스,4,3,1,53,1.857,0.907
ar,4,3,1,32,2.0,0.828
울트라와이드,1,0,1,1,0.143,0.622
저비용,1,0,1,1,0.143,0.622
fhd,1,0,1,2,0.143,0.622
hud,1,0,1,2,0.143,0.622
고효율,1,0,1,2,0.143,0.622
올레드tv,1,0,1,3,0.143,0.622
asus,1,0,1,11,0.143,0.622
게이밍모니터,1,0,1,13,0.143,0.622
bmw,2,1,1,14,0.857,0.593
구글,3,2,1,83,1.857,0.484
비보,1,0,1,5,0.286,0.465
벤큐,1,0,1,6,0.429,0.345
화웨이,1,0,1,15,0.429,0.345
카카오,1,0,1,15,0.571,0.244
lcd,1,0,1,10,0.714,0.155
tsmc,1,0,1,19,0.857,0.074
