term,cur,prev,diff,total,ma7,z_like
삼성전자,26,8,18,556,21.0,0.896
갤럭시,19,2,17,79,4.429,4.694
레노버,17,0,17,110,9.857,1.725
oled,17,31,-14,479,19.714,-0.499
구글,14,2,12,55,3.143,3.916
애플,14,4,10,156,6.143,2.259
lg전자,14,27,-13,370,16.0,-0.4
tv,12,11,1,380,13.143,-0.247
스마트폰,11,5,6,95,4.143,2.259
알파벳,10,0,10,12,1.571,3.74
디스플레이,10,22,-12,265,11.0,-0.232
노트북,9,7,2,106,6.857,0.592
lcd,8,0,8,53,1.857,2.6
lg디스플레이,8,0,8,139,4.857,0.981
amd,6,1,5,34,2.143,1.565
올레드,6,15,-9,43,3.857,0.723
엔비디아,5,1,4,81,6.143,-0.329
아이폰,4,1,3,80,1.857,0.907
폴더블,4,1,3,85,4.0,0.0
sk하이닉스,3,1,2,35,1.286,0.803
xr,3,4,-1,61,1.857,0.484
인텔,3,3,0,33,3.0,0.0
모니터,3,5,-2,208,7.0,-1.097
기아,3,7,-4,61,7.429,-1.189
kaist,2,18,-16,26,2.857,-0.319
hp,2,19,-17,59,4.0,-0.667
카카오,1,0,1,15,0.143,0.622
미디어텍,1,0,1,2,0.143,0.622
태블릿,1,0,1,7,0.286,0.465
오포,1,0,1,5,0.286,0.465
galaxy,1,0,1,3,0.286,0.465
롤러블,1,0,1,4,0.571,0.244
tsmc,1,1,0,13,0.714,0.155
메타,1,0,1,12,0.857,0.074
고성능,1,0,1,18,1.0,0.0
모바일,1,1,0,82,2.857,-0.69
퀄컴,1,1,0,32,3.143,-0.773
삼성디스플레이,1,11,-10,173,7.0,-1.646
