term,cur,diff,z_like
삼성,64,58,10.33
lg,41,41,8.43
lg전자,42,41,8.42
애플,35,34,7.98
삼성전자,36,25,5.32
oled,17,12,3.96
현대차,7,7,2.83
맥북,6,6,2.50
갤럭시,6,6,2.35
아이폰,5,3,2.00
