term,cur,prev,diff,ma7,z_like,total
oled,24,29,-5,11.143,2.964,325
kaist,4,0,4,1.0,1.5,26
모니터,14,18,-4,8.857,1.293,135
마이크로소프트,1,0,1,0.143,0.622,10
lg디스플레이,3,3,0,1.714,0.557,100
삼성전자,17,12,5,14.429,0.536,393
주사율,1,1,0,0.286,0.465,3
양산,2,1,1,1.143,0.414,71
태블릿,1,1,0,0.429,0.345,10
삼성디스플레이,5,7,-2,4.143,0.282,54
갤럭시,4,2,2,3.429,0.2,131
lcd,1,2,-1,0.714,0.155,35
vr,1,0,1,0.857,0.074,17
레노버,2,2,0,2.0,0.0,62
asus,1,0,1,1.143,-0.069,20
폴더블,8,17,-9,8.429,-0.11,213
fhd,1,10,-9,1.571,-0.254,14
엔비디아,6,17,-11,7.714,-0.454,137
xr,1,3,-2,2.429,-0.558,67
디스플레이,4,15,-11,6.286,-0.652,170
스마트폰,1,2,-1,2.857,-0.69,99
아이폰,3,12,-9,6.143,-0.904,109
lg전자,6,22,-16,10.286,-1.019,305
tv,1,4,-3,5.286,-1.299,209
애플,7,19,-12,13.0,-1.303,311
