term,cur,prev,diff,total,ma7,z_like
폴더블,17,0,17,72,3.857,4.434
구글,5,1,4,36,1.143,1.864
갤럭시,9,2,7,85,3.714,1.806
postech,2,0,2,2,0.286,1.117
xr,5,3,2,119,2.714,0.863
니트,1,0,1,1,0.143,0.622
비보,1,0,1,5,0.143,0.622
asus,1,0,1,7,0.143,0.622
tcl,1,0,1,8,0.143,0.622
화웨이,1,0,1,10,0.143,0.622
qled,1,0,1,16,0.143,0.622
저전력,1,0,1,3,0.286,0.465
스마트워치,1,0,1,4,0.286,0.465
vr,1,0,1,8,0.286,0.465
4k,1,0,1,9,0.429,0.345
tsmc,1,1,0,11,0.429,0.345
메타,1,0,1,12,0.429,0.345
샤오미,1,0,1,24,0.571,0.244
삼성디스플레이,1,1,0,36,0.571,0.244
byd,1,0,1,13,0.714,0.155
모바일,2,2,0,23,1.714,0.124
디스플레이,4,3,1,129,4.0,0.0
공급망,1,0,1,35,1.429,-0.195
boe,1,1,0,24,1.714,-0.309
레노버,1,0,1,38,1.714,-0.309
모니터,2,2,0,92,2.857,-0.319
ar,1,1,0,37,1.857,-0.363
아이폰,2,2,0,64,3.0,-0.366
맥북,1,1,0,35,3.0,-0.732
벤츠,1,0,1,52,6.714,-1.591
