term,cur,prev,diff,total,ma7,z_like
갤럭시,8,1,7,72,2.286,2.275
byd,4,0,4,13,0.857,1.632
ar,6,0,6,34,2.286,1.479
스마트폰,6,2,4,56,2.714,1.241
kaist,3,1,2,7,0.714,1.239
공급망,4,0,4,34,1.714,0.99
해상도,1,0,1,2,0.143,0.622
tsmc,1,0,1,10,0.143,0.622
lg화학,1,0,1,16,0.286,0.465
인텔,2,2,0,47,1.143,0.414
엔비디아,5,1,4,145,3.857,0.386
카카오,1,0,1,9,0.571,0.244
boe,2,2,0,23,1.714,0.124
샤오미,3,0,3,25,2.714,0.108
폴더블,2,2,0,58,2.143,-0.058
아이폰,3,3,0,63,3.286,-0.102
모바일,1,0,1,18,1.286,-0.134
xr,1,1,0,110,1.429,-0.195
노트북,2,2,0,64,4.143,-0.706
애플,5,3,2,205,9.143,-1.03
