org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,233.19 (1%),178.16 (1%),,80.96 (2%),52.01 (1%),49.73 (2%),112.10 (2%),,21.12 (2%),28.70 (2%),
ASUS,70.85 (0%),59.84 (0%),,14.78 (0%),16.12 (0%),,7.09 (0%),,11.37 (1%),1.64 (0%),2.66 (0%)
AUO,52.28 (0%),45.40 (0%),0.92 (0%),9.15 (0%),9.52 (0%),3.11 (0%),15.61 (0%),,,2.46 (0%),
Acer,59.84 (0%),50.21 (0%),0.92 (0%),11.97 (0%),11.72 (0%),,6.39 (0%),,9.75 (1%),,2.66 (0%)
BMW,62.60 (0%),52.28 (0%),9.23 (1%),13.38 (0%),82.05 (2%),13.21 (1%),44.70 (1%),,10.56 (1%),,
BOE,857.77 (5%),690.62 (4%),,89.40 (2%),81.32 (2%),50.51 (2%),198.66 (4%),,17.06 (2%),41.81 (2%),
BYD,90.80 (1%),78.42 (1%),,14.78 (0%),67.40 (2%),10.88 (0%),59.60 (1%),,8.94 (1%),13.94 (1%),
Bosch,1.38 (0%),2.06 (0%),,4.22 (0%),,,,,,,
CES,213.24 (1%),207.05 (1%),16.61 (2%),55.61 (1%),38.09 (1%),10.88 (0%),46.83 (1%),,27.62 (3%),,
CSOT,512.46 (3%),420.98 (3%),,47.87 (1%),46.89 (1%),24.86 (1%),113.52 (2%),,9.75 (1%),20.50 (1%),
Corning,5.50 (0%),4.82 (0%),0.92 (0%),0.70 (0%),0.73 (0%),,2.13 (0%),,,,
Counterpoint,4.82 (0%),5.50 (0%),,10.56 (0%),1.47 (0%),,,,,0.82 (0%),0.89 (0%)
DELL,0.69 (0%),0.69 (0%),,0.70 (0%),,,1.42 (0%),,,0.82 (0%),
DSCC,4.82 (0%),4.82 (0%),0.92 (0%),1.41 (0%),,,2.13 (0%),,,,
Dell,68.10 (0%),57.78 (0%),,18.30 (0%),16.85 (0%),,7.80 (0%),,9.75 (1%),2.46 (0%),2.66 (0%)
ETRI,30.27 (0%),26.83 (0%),5.54 (1%),2.82 (0%),8.79 (0%),6.99 (0%),10.64 (0%),,,3.28 (0%),
HMI,8.25 (0%),5.50 (0%),,0.70 (0%),,0.78 (0%),5.68 (0%),,,,0.89 (0%)
HP,143.08 (1%),119.69 (1%),,29.57 (1%),24.91 (1%),6.22 (0%),14.19 (0%),,16.25 (2%),,3.54 (1%)
Harman,31.64 (0%),25.45 (0%),1.85 (0%),7.04 (0%),6.59 (0%),,14.19 (0%),,1.62 (0%),1.64 (0%),
IEC,33.02 (0%),31.64 (0%),,15.49 (0%),5.13 (0%),5.44 (0%),7.80 (0%),,17.06 (2%),,9.74 (2%)
IEEE,4.82 (0%),4.82 (0%),1.85 (0%),3.52 (0%),1.47 (0%),,1.42 (0%),,0.81 (0%),,1.77 (0%)
IMID,56.41 (0%),48.15 (0%),5.54 (1%),8.45 (0%),7.33 (0%),4.66 (0%),7.09 (0%),,1.62 (0%),,
ITU,50.90 (0%),45.40 (0%),,16.89 (0%),4.40 (0%),1.55 (0%),1.42 (0%),1.14 (0%),,,1.77 (0%)
Innolux,39.21 (0%),32.33 (0%),,7.74 (0%),14.65 (0%),3.11 (0%),19.87 (0%),,1.62 (0%),2.46 (0%),
IoT,208.42 (1%),217.37 (1%),,92.22 (2%),58.61 (1%),31.86 (1%),75.92 (1%),,40.62 (4%),22.96 (1%),
JDI,44.71 (0%),37.83 (0%),,5.63 (0%),2.20 (0%),,10.64 (0%),,1.62 (0%),0.82 (0%),0.89 (0%)
KAIST,44.02 (0%),42.65 (0%),5.54 (1%),16.19 (0%),16.85 (0%),5.44 (0%),18.45 (0%),,5.69 (1%),,
LG디스플레이,1361.29 (8%),1137.74 (7%),,116.15 (3%),168.50 (4%),75.37 (3%),310.05 (6%),,64.18 (6%),168.90 (9%),
LG전자,1174.19 (7%),1241.61 (8%),200.23 (29%),496.99 (12%),311.35 (8%),314.70 (13%),283.09 (5%),,,189.40 (10%),
LG화학,191.92 (1%),169.22 (1%),,47.17 (1%),63.00 (2%),27.97 (1%),93.65 (2%),37.72 (6%),,130.36 (7%),
MOTIE,0.69 (0%),0.69 (0%),,2.82 (0%),,,,,,,
MWC,12.38 (0%),10.32 (0%),0.92 (0%),2.82 (0%),1.47 (0%),0.78 (0%),1.42 (0%),,,,0.89 (0%)
Merck,3.44 (0%),3.44 (0%),0.92 (0%),3.52 (0%),0.73 (0%),0.78 (0%),,,0.81 (0%),,0.89 (0%)
SEMI,2.06 (0%),2.06 (0%),,0.70 (0%),,,2.84 (0%),,,0.82 (0%),
SID,112.81 (1%),101.80 (1%),6.46 (1%),1.41 (0%),1.47 (0%),1.55 (0%),12.06 (0%),,21.94 (2%),,
SK하이닉스,445.05 (2%),398.28 (3%),,112.63 (3%),89.38 (2%),53.61 (2%),236.97 (4%),49.15 (8%),,52.47 (3%),
Semiconductor,36.46 (0%),33.02 (0%),,7.04 (0%),8.06 (0%),3.11 (0%),21.28 (0%),,4.87 (0%),11.48 (1%),
TCL,551.67 (3%),490.45 (3%),,126.01 (3%),79.12 (2%),36.52 (2%),90.82 (2%),,26.81 (3%),24.60 (1%),
TSMC,118.31 (1%),95.61 (1%),,30.27 (1%),27.11 (1%),13.21 (1%),76.63 (1%),,5.69 (1%),24.60 (1%),
Tianma,59.84 (0%),52.97 (0%),,10.56 (0%),8.06 (0%),3.89 (0%),16.32 (0%),,,0.82 (0%),0.89 (0%)
