term,cur,prev,diff,total,ma7,z_like
tv,32,36,-4,349,16.286,3.121
삼성전자,30,45,-15,422,16.286,2.723
애플,16,4,12,222,11.429,1.044
oled,14,4,10,347,10.0,0.961
맥북,11,3,8,78,8.0,0.784
노트북,10,3,7,123,5.429,1.373
lg전자,9,21,-12,227,7.0,0.549
스마트폰,8,5,3,103,5.143,0.874
디스플레이,7,12,-5,252,7.857,-0.225
인텔,6,0,6,17,0.857,2.67
갤럭시,5,2,3,240,5.286,-0.087
폴더블,4,0,4,47,1.714,0.99
아이패드,3,0,3,14,1.0,1.0
메타,3,1,2,25,1.429,0.716
sk하이닉스,3,0,3,55,2.0,0.414
아이폰,3,2,1,54,2.0,0.414
모니터,3,0,3,118,3.429,-0.15
슬라이더블,2,0,2,2,0.286,1.117
공급망,2,1,1,23,1.0,0.5
lg디스플레이,2,2,0,112,1.429,0.26
ar,2,2,0,36,1.429,0.26
hp,2,1,1,53,2.857,-0.319
xr,2,4,-2,80,4.143,-0.706
선익시스템,1,0,1,35,0.143,0.622
패드,1,0,1,4,0.143,0.622
에어팟,1,0,1,3,0.143,0.622
fmm,1,0,1,1,0.143,0.622
애플워치,1,0,1,1,0.143,0.622
양산,1,0,1,28,0.286,0.465
sharp,1,0,1,8,0.286,0.465
태블릿,1,1,0,5,0.286,0.465
카카오,1,0,1,33,0.429,0.345
boe,1,0,1,35,0.571,0.244
파나소닉,1,3,-2,17,0.571,0.244
lcd,1,0,1,63,0.714,0.155
vr,1,0,1,20,0.714,0.155
오포,1,0,1,9,0.857,0.074
샤오미,1,0,1,41,1.0,0.0
고성능,1,1,0,16,1.0,0.0
amd,1,0,1,21,1.143,-0.069
구글,1,6,-5,67,2.143,-0.464
모바일,1,1,0,54,3.0,-0.732
qled,1,0,1,37,4.857,-1.204
