term,cur,prev,diff,total,ma7,z_like
시야각,16,0,16,16,2.286,5.46
삼성디스플레이,23,1,22,122,7.286,4.248
ul,9,0,9,10,1.286,3.615
lg디스플레이,14,1,13,95,3.571,3.609
tcl,5,0,5,60,0.857,2.151
모바일,6,0,6,61,2.0,1.657
sk하이닉스,7,1,6,87,2.857,1.54
스마트폰,8,3,5,123,3.857,1.398
갤럭시,5,1,4,94,2.0,1.243
올레드,2,1,1,83,0.714,0.697
ltpo,1,0,1,1,0.143,0.622
비보,1,0,1,1,0.143,0.622
엘지전자,1,0,1,1,0.143,0.622
알파벳,1,0,1,3,0.143,0.622
harman,1,0,1,5,0.143,0.622
카카오,1,0,1,10,0.143,0.622
amd,1,0,1,12,0.143,0.622
아마존,1,0,1,19,0.143,0.622
hud,1,1,0,2,0.286,0.465
레노버,1,0,1,66,0.286,0.465
lcd,1,0,1,29,0.571,0.244
byd,1,0,1,9,0.714,0.155
모니터,2,2,0,171,2.0,0.0
tsmc,1,0,1,18,1.286,-0.134
양산,1,0,1,47,1.286,-0.134
엔비디아,2,0,2,86,2.429,-0.168
xr,4,2,2,117,4.571,-0.182
노트북,2,0,2,131,2.714,-0.27
구글,1,0,1,83,2.143,-0.464
