term,cur,prev,diff,total,ma7,z_like
lg,25,0,25,278,5.571,5.782
lg전자,25,1,24,68,5.857,5.597
애플,15,1,14,96,3.429,4.058
맥북,6,0,6,15,1.0,2.5
현대차,6,0,6,29,1.0,2.5
갤럭시,5,0,5,27,1.0,2.0
아이폰,4,2,2,27,0.857,1.632
공급망,4,0,4,12,1.0,1.5
패널,3,1,2,12,0.571,1.383
그램,2,0,2,2,0.286,1.117
ltpo,2,0,2,4,0.286,1.117
화웨이,2,0,2,5,0.286,1.117
tsmc,2,0,2,14,0.286,1.117
삼성디스플레이,2,0,2,33,0.286,1.117
고효율,2,0,2,3,0.429,0.95
아이패드,2,0,2,9,0.429,0.95
ar,2,0,2,30,0.429,0.95
게이밍,2,0,2,12,0.571,0.814
고해상도,1,0,1,1,0.143,0.622
수율,1,0,1,3,0.286,0.465
기아,1,1,0,4,0.286,0.465
4k,1,0,1,4,0.571,0.244
sk하이닉스,1,0,1,25,0.571,0.244
엔비디아,1,0,1,10,0.714,0.155
폴더블,1,1,0,29,0.714,0.155
한화,1,0,1,39,1.429,-0.195
차세대,1,1,0,41,1.571,-0.254
