term,cur,prev,diff,ma7,z_like,total
엔비디아,16,2,14,3.429,4.408,74
노트북,17,2,15,5.0,3.708,92
삼성전자,36,36,0,17.286,3.628,499
oled,51,34,17,28.286,3.595,452
디스플레이,28,25,3,12.857,3.302,258
퀄컴,9,4,5,1.857,3.023,29
인텔,8,1,7,1.429,2.994,28
lg디스플레이,12,4,8,4.143,2.589,155
하이센스,6,2,4,1.143,2.348,13
amd,7,2,5,1.857,2.177,27
삼성디스플레이,23,7,16,13.429,2.052,159
샤오미,4,1,3,0.714,1.781,14
올레드,5,1,4,1.286,1.741,24
메타,4,1,3,0.857,1.632,16
소니,3,0,3,0.429,1.554,11
폴더블,5,3,2,1.571,1.521,81
보쉬,2,0,2,0.286,1.117,2
bmw,3,0,3,1.0,1.0,22
xr,3,1,2,1.0,1.0,71
고성능,2,1,1,0.571,0.814,17
boe,2,0,2,0.714,0.697,59
byd,1,0,1,0.143,0.622,3
dell,1,0,1,0.143,0.622,1
fhd,1,0,1,0.143,0.622,14
galaxy,1,0,1,0.143,0.622,2
miniled,1,0,1,0.143,0.622,1
고휘도,1,0,1,0.143,0.622,2
기아,1,0,1,0.143,0.622,28
한화시스템,1,0,1,0.143,0.622,3
hp,2,1,1,0.857,0.593,40
태블릿,1,0,1,0.286,0.465,9
한미반도체,1,1,0,0.286,0.465,6
sk하이닉스,2,0,2,1.143,0.414,44
모바일,2,1,1,1.143,0.414,70
양산,3,0,3,2.143,0.348,25
아마존,1,0,1,0.429,0.345,8
선익시스템,1,1,0,0.429,0.345,15
모니터,4,4,0,3.143,0.309,197
ar,2,2,0,1.429,0.26,40
tsmc,1,0,1,0.571,0.244,18
tv,15,41,-26,13.857,0.242,346
구글,1,2,-1,0.714,0.155,57
레노버,1,2,-1,1.429,-0.195,69
애플,3,4,-1,3.571,-0.198,153
갤럭시,1,3,-2,2.429,-0.558,81
그램,1,1,0,3.857,-0.964,28
lg전자,6,44,-38,10.714,-1.103,331
