term,cur,prev,diff,total,ma7,z_like
삼성전자,20,5,15,518,17.143,0.556
lg전자,13,3,10,204,8.0,1.306
애플,5,4,1,188,3.714,0.439
ppi,3,0,3,3,0.429,1.554
퀄컴,3,0,3,42,2.429,0.223
엔비디아,3,2,1,244,9.429,-1.579
ar,2,0,2,31,0.571,0.814
메타,2,0,2,14,0.714,0.697
삼성디스플레이,2,1,1,105,9.429,-1.825
세미파이브,1,0,1,2,0.143,0.622
미디어텍,1,0,1,1,0.143,0.622
공급망,1,1,0,32,0.429,0.345
현대모비스,1,0,1,41,0.714,0.155
모바일,1,2,-1,47,1.143,-0.069
구글,1,3,-2,35,1.429,-0.195
고성능,1,2,-1,19,1.429,-0.195
아이폰,1,3,-2,62,2.429,-0.558
xr,1,2,-1,98,2.714,-0.648
모니터,1,0,1,92,2.857,-0.69
노트북,1,2,-1,100,3.429,-0.852
tv,1,3,-2,213,4.857,-1.204
