term,cur,prev,diff,ma7,z_like,total,date
oled,54,7,47,12.143,9.333,338,2026-04-10
삼성디스플레이,26,1,25,4.143,7.201,110,2026-04-10
모니터,12,3,9,4.857,2.229,189,2026-04-10
lcd,4,0,4,0.857,1.632,38,2026-04-10
태블릿,4,2,2,1.0,1.5,26,2026-04-10
4k,3,1,2,0.714,1.239,8,2026-04-10
스마트폰,8,7,1,4.571,1.093,94,2026-04-10
올레드,2,0,2,0.429,0.95,72,2026-04-10
폴더블,10,19,-9,6.714,0.915,145,2026-04-10
아마존,2,0,2,0.571,0.814,15,2026-04-10
qled,1,0,1,0.143,0.622,7,2026-04-10
udc,1,0,1,0.143,0.622,1,2026-04-10
마이크로oled,1,0,1,0.143,0.622,1,2026-04-10
한미반도체,1,0,1,0.143,0.622,1,2026-04-10
애플,13,20,-7,10.429,0.608,273,2026-04-10
엔비디아,2,1,1,1.0,0.5,170,2026-04-10
dell,1,1,0,0.286,0.465,4,2026-04-10
구글,3,0,3,2.0,0.414,74,2026-04-10
lg디스플레이,6,19,-13,4.857,0.357,158,2026-04-10
맥북,1,0,1,0.429,0.345,36,2026-04-10
선익시스템,1,0,1,0.429,0.345,15,2026-04-10
화웨이,1,0,1,0.429,0.345,14,2026-04-10
양산,4,4,0,3.286,0.254,81,2026-04-10
vr,1,0,1,0.571,0.244,55,2026-04-10
lg전자,12,13,-1,11.0,0.232,256,2026-04-10
ar,3,1,2,2.429,0.223,56,2026-04-10
모바일,2,1,1,1.714,0.124,64,2026-04-10
xr,5,18,-13,4.714,0.09,125,2026-04-10
메타,1,1,0,0.857,0.074,24,2026-04-10
노트북,6,6,0,6.0,0.0,132,2026-04-10
tv,10,32,-22,10.0,0.0,315,2026-04-10
아이폰,6,19,-13,6.429,-0.121,142,2026-04-10
디스플레이,6,16,-10,6.714,-0.199,203,2026-04-10
boe,1,1,0,1.857,-0.363,24,2026-04-10
갤럭시,3,7,-4,4.286,-0.419,101,2026-04-10
기아,1,0,1,2.286,-0.512,43,2026-04-10
sk하이닉스,2,24,-22,5.0,-0.927,88,2026-04-10
삼성전자,6,34,-28,17.286,-2.188,489,2026-04-10
tcl,15,0,15,2.714,4.64,65,2026-04-11
etri,4,0,4,0.714,1.781,11,2026-04-11
필립스,3,0,3,0.571,1.383,8,2026-04-11
엔비디아,4,2,2,1.286,1.272,167,2026-04-11
amd,2,0,2,0.286,1.117,21,2026-04-11
asus,2,0,2,0.286,1.117,25,2026-04-11
tsmc,2,0,2,0.286,1.117,11,2026-04-11
qled,2,1,1,0.429,0.95,9,2026-04-11
