cluster_id,keywords
0,"하만, 쿠팡, 출시, 윌테크놀러지, 한솔테크닉스"
1,중국
2,"애플, 스마트폰, 삼성, 아이폰, 갤럭시"
3,효율
4,"모니터, 반도체, 노트북"
5,이란
6,"미국, 폴더블, 양산, 디스플레이, 구조, 개발, 하이닉스, 생산, 이상, 신제품, 레디, 박사, 게임, QLED, 기존, 수출, 엔비디아, 교수, 투자, 바이오, 실시간, 탑재, 분석, 소재, 점유율, 공간, 프레임, 증가, 라인업, 마이크, 2026년형, 구글, 지원, 치사, 치료, 공연, 솔루션, 문제, 소노, 서비스"
7,"가격, 소비"
