org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
구글,317.11 (2%),228.37 (2%),,79.70 (6%),207.46 (3%),92.39 (3%),117.95 (3%),164.73 (4%),87.94 (3%),,
기아,146.33 (1%),114.71 (1%),,,112.01 (1%),38.05 (1%),144.88 (4%),47.41 (1%),39.30 (1%),,42.64 (1%)
기아자동차,10.32 (0%),8.94 (0%),,,9.08 (0%),3.03 (0%),9.52 (0%),8.45 (0%),5.77 (0%),,2.95 (0%)
기아차,2.06 (0%),1.38 (0%),,,1.40 (0%),0.76 (0%),4.40 (0%),0.70 (0%),,,0.74 (0%)
네이버,208.42 (1%),169.22 (1%),,,119.45 (2%),72.70 (2%),92.31 (3%),73.92 (2%),38.93 (1%),,29.54 (1%)
니오,0.69 (0%),0.69 (0%),,,,,0.73 (0%),,0.72 (0%),,
도우인시스,2.06 (0%),1.38 (0%),,,1.40 (0%),0.76 (0%),0.73 (0%),,,,
두산로보틱스,30.95 (0%),17.20 (0%),,,32.83 (0%),9.09 (0%),5.13 (0%),9.86 (0%),5.77 (0%),,13.29 (0%)
디지타임스,11.69 (0%),11.01 (0%),,,6.29 (0%),1.51 (0%),1.47 (0%),2.82 (0%),2.16 (0%),,2.95 (0%)
딥엑스,1.38 (0%),0.69 (0%),,0.81 (0%),1.40 (0%),,,0.70 (0%),0.72 (0%),,
레노버,24.08 (0%),25.45 (0%),,,5.59 (0%),3.03 (0%),6.59 (0%),4.22 (0%),5.05 (0%),,5.17 (0%)
리벨리온,11.01 (0%),8.25 (0%),,,3.49 (0%),4.54 (0%),4.40 (0%),4.22 (0%),1.44 (0%),1.14 (0%),
리오토,6.19 (0%),6.88 (0%),,,1.40 (0%),2.27 (0%),5.13 (0%),0.70 (0%),2.16 (0%),,2.22 (0%)
마이크로소프트,152.71 (1%),92.86 (1%),,,160.66 (2%),9.85 (0%),36.63 (1%),68.99 (1%),47.58 (2%),,18.47 (1%)
메타,200.86 (1%),135.51 (1%),,,157.86 (2%),31.81 (1%),47.62 (1%),81.66 (2%),56.95 (2%),,22.16 (1%)
미디어텍,24.08 (0%),16.51 (0%),,,15.37 (0%),7.57 (0%),3.66 (0%),6.34 (0%),3.60 (0%),,4.43 (0%)
바이두,9.63 (0%),6.88 (0%),,,6.99 (0%),1.51 (0%),1.47 (0%),3.52 (0%),4.33 (0%),,2.95 (0%)
벤츠,24.76 (0%),19.26 (0%),,,12.57 (0%),13.63 (0%),30.77 (1%),9.86 (0%),5.77 (0%),,4.43 (0%)
비보,45.40 (0%),48.15 (0%),,,11.18 (0%),21.20 (1%),4.40 (0%),6.34 (0%),5.05 (0%),,13.29 (0%)
삼성디스플레이,1289.76 (8%),1252.61 (10%),,,284.29 (4%),202.20 (6%),195.60 (5%),229.49 (5%),166.52 (6%),,231.18 (8%)
삼성전자,4515.78 (18%),3005.54 (14%),,,1896.29 (16%),2146.96 (36%),738.77 (12%),1328.12 (17%),630.65 (14%),,577.13 (12%)
샤오미,202.92 (1%),196.73 (2%),,,57.28 (1%),56.80 (2%),47.62 (1%),43.65 (1%),36.76 (1%),,58.35 (2%)
샤오펑,13.76 (0%),13.76 (0%),,,2.79 (0%),3.03 (0%),16.85 (0%),3.52 (0%),5.05 (0%),,5.91 (0%)
샤프,41.27 (0%),40.58 (0%),,,8.38 (0%),4.54 (0%),6.59 (0%),6.34 (0%),4.33 (0%),,11.08 (0%)
선익시스템,52.03 (0%),58.00 (0%),,,22.52 (0%),,4.54 (0%),10.47 (0%),2.68 (0%),,9.16 (0%)
세미파이브,4.82 (0%),3.44 (0%),0.92 (0%),,2.10 (0%),0.76 (0%),,2.11 (0%),0.72 (0%),,1.48 (0%)
소니,83.21 (0%),77.96 (0%),,,19.57 (0%),24.11 (1%),16.79 (0%),23.31 (0%),15.60 (0%),,16.93 (0%)
아마존,109.87 (1%),67.86 (0%),,,112.39 (1%),13.34 (0%),26.67 (1%),39.68 (1%),44.02 (1%),,14.75 (0%)
아이씨디,24.08 (0%),24.76 (0%),,,18.86 (0%),,3.66 (0%),5.63 (0%),4.33 (0%),,5.17 (0%)
알파벳,68.79 (0%),30.95 (0%),,0.81 (0%),84.52 (1%),,17.58 (0%),21.82 (0%),24.51 (1%),,2.22 (0%)
애플,1575.86 (7%),1324.69 (7%),,,766.14 (8%),403.57 (8%),368.71 (7%),467.44 (7%),243.90 (6%),,336.34 (8%)
엔비디아,370.76 (2%),216.68 (2%),,,334.59 (5%),55.28 (2%),83.52 (2%),173.17 (4%),87.94 (3%),,39.15 (1%)
오포,52.97 (0%),53.65 (0%),,,12.57 (0%),18.18 (1%),8.06 (0%),8.45 (0%),8.65 (0%),,14.03 (0%)
원익IPS,45.40 (0%),34.39 (0%),,,45.40 (1%),6.06 (0%),4.40 (0%),15.49 (0%),4.33 (0%),,13.29 (0%)
인텔,232.86 (1%),208.12 (1%),,,110.00 (1%),35.68 (1%),51.78 (1%),88.16 (2%),50.06 (1%),,38.47 (1%)
카카오,84.61 (1%),78.42 (1%),,,62.87 (1%),38.62 (1%),37.36 (1%),50.68 (1%),21.63 (1%),,15.51 (1%)
퀄컴,164.40 (1%),113.50 (1%),,,111.76 (2%),68.16 (2%),55.68 (2%),56.32 (1%),28.11 (1%),,24.37 (1%)
텐센트,17.20 (0%),12.38 (0%),,,10.48 (0%),1.51 (0%),3.66 (0%),5.63 (0%),9.37 (0%),,5.91 (0%)
폭스바겐,36.46 (0%),32.33 (0%),,,32.13 (0%),6.82 (0%),46.15 (1%),10.56 (0%),12.25 (0%),,15.51 (1%)
하이센스,318.48 (2%),301.97 (2%),,,78.23 (1%),43.17 (1%),49.08 (1%),71.10 (2%),47.58 (2%),,84.20 (3%)
하이얼,71.54 (0%),63.97 (0%),,,21.65 (0%),6.06 (0%),10.26 (0%),23.23 (0%),15.86 (1%),,22.90 (1%)
한미반도체,56.41 (0%),34.39 (0%),,,60.77 (1%),9.85 (0%),6.59 (0%),20.41 (0%),6.49 (0%),,11.82 (0%)
한화,173.34 (1%),123.13 (1%),,67.63 (5%),112.46 (2%),,40.29 (1%),102.07 (2%),36.04 (1%),32.01 (5%),
한화솔루션,16.51 (0%),11.69 (0%),,,13.27 (0%),,2.20 (0%),3.52 (0%),4.33 (0%),1.14 (0%),5.17 (0%)
한화시스템,72.71 (0%),56.55 (0%),10.84 (2%),,74.65 (1%),,30.11 (1%),56.22 (1%),21.16 (1%),,22.55 (1%)
현대모비스,82.54 (1%),57.78 (0%),,24.15 (2%),82.42 (1%),,33.70 (1%),26.05 (1%),23.07 (1%),,27.33 (1%)
현대자동차,103.18 (1%),76.35 (1%),,,90.11 (1%),27.26 (1%),76.19 (2%),47.17 (1%),31.72 (1%),,27.33 (1%)
현대차,248.32 (2%),180.22 (1%),,,180.22 (3%),66.64 (2%),323.80 (9%),152.05 (3%),90.11 (3%),,65.00 (2%)
화웨이,115.56 (1%),94.24 (1%),,,43.31 (1%),34.08 (1%),16.12 (0%),28.16 (1%),29.55 (1%),,27.33 (1%)
