--- Sentiment Scaling Log (2026-08-14) ---
--- (Topic_ID (Semantic_Key): raw_score -> final_score) ---
--------------------------------------------------
Topic 0 (Foldable_Display_Topic): score_raw=0.5084 -> score_final=0.5084
Topic 0 (Foldable_Display_Topic): score_raw=0.4899 -> score_final=0.4899
Topic 0 (Foldable_Display_Topic): score_raw=0.5063 -> score_final=0.5063
Topic 0 (Foldable_Display_Topic): score_raw=0.5037 -> score_final=0.5037
Topic 0 (Foldable_Display_Topic): score_raw=0.4902 -> score_final=0.4902
Topic 0 (Foldable_Display_Topic): score_raw=0.5017 -> score_final=0.5017
Topic 0 (Foldable_Display_Topic): score_raw=0.5050 -> score_final=0.5050
Topic 0 (Foldable_Display_Topic): score_raw=0.5085 -> score_final=0.5085
Topic 0 (Foldable_Display_Topic): score_raw=0.5049 -> score_final=0.5049
Topic 0 (Foldable_Display_Topic): score_raw=0.5007 -> score_final=0.5007
Topic 0 (Foldable_Display_Topic): score_raw=0.5058 -> score_final=0.5058
Topic 0 (Foldable_Display_Topic): score_raw=0.5099 -> score_final=0.5099
Topic 0 (Foldable_Display_Topic): score_raw=0.4984 -> score_final=0.4984
Topic 0 (Foldable_Display_Topic): score_raw=0.5039 -> score_final=0.5039
Topic 0 (Foldable_Display_Topic): score_raw=0.5117 -> score_final=0.5117
Topic 0 (Foldable_Display_Topic): score_raw=0.5017 -> score_final=0.5017
Topic 0 (Foldable_Display_Topic): score_raw=0.4985 -> score_final=0.4985
Topic 0 (Foldable_Display_Topic): score_raw=0.5083 -> score_final=0.5083
Topic 0 (Foldable_Display_Topic): score_raw=0.5096 -> score_final=0.5096
Topic 0 (Foldable_Display_Topic): score_raw=0.4887 -> score_final=0.4887
Topic 0 (Foldable_Display_Topic): score_raw=0.5016 -> score_final=0.5016
Topic 0 (Foldable_Display_Topic): score_raw=0.5095 -> score_final=0.5095
Topic 0 (Foldable_Display_Topic): score_raw=0.5063 -> score_final=0.5063
Topic 0 (Foldable_Display_Topic): score_raw=0.5116 -> score_final=0.5116
Topic 0 (Foldable_Display_Topic): score_raw=0.5137 -> score_final=0.5137
Topic 0 (Foldable_Display_Topic): score_raw=0.4877 -> score_final=0.4877
Topic 0 (Foldable_Display_Topic): score_raw=0.4885 -> score_final=0.4885
Topic 0 (Foldable_Display_Topic): score_raw=0.5040 -> score_final=0.5040
Topic 0 (Foldable_Display_Topic): score_raw=0.4964 -> score_final=0.4964
Topic 0 (Foldable_Display_Topic): score_raw=0.4980 -> score_final=0.4980
Topic 0 (Foldable_Display_Topic): score_raw=0.4898 -> score_final=0.4898
Topic 0 (Foldable_Display_Topic): score_raw=0.5006 -> score_final=0.5006
Topic 0 (Foldable_Display_Topic): score_raw=0.5019 -> score_final=0.5019
Topic 0 (Foldable_Display_Topic): score_raw=0.5095 -> score_final=0.5095
Topic 0 (Foldable_Display_Topic): score_raw=0.4966 -> score_final=0.4966
Topic 0 (Foldable_Display_Topic): score_raw=0.5058 -> score_final=0.5058
Topic 0 (Foldable_Display_Topic): score_raw=0.5116 -> score_final=0.5116
Topic 0 (Foldable_Display_Topic): score_raw=0.5102 -> score_final=0.5102
Topic 0 (Foldable_Display_Topic): score_raw=0.5114 -> score_final=0.5114
Topic 0 (Foldable_Display_Topic): score_raw=0.5078 -> score_final=0.5078
