term,cur,diff,z_like
스트레처블,16,16,5.46
레노버,20,20,5.45
kaist,15,15,5.22
애플,19,10,3.05
맥북,9,9,3.02
벤큐,5,5,1.86
amd,5,4,1.86
sk하이닉스,6,2,1.75
xr,8,5,1.68
