date,metric,value,z_score
2025-10-01,전체 기사량,832건,2.10
2025-10-04,신호 기사 비율,75.00%,2.27
2025-10-06,신호 기사 비율,169.23%,2.05
2025-10-17,신호 기사 비율,161.54%,2.15
2025-10-18,신호 기사 비율,800.00%,2.22
