term,cur,prev,diff,total,ma7,z_like
애플,10,5,5,250,8.857,0.287
삼성전자,6,16,-10,511,13.143,-1.544
갤럭시,4,7,-3,113,4.571,-0.182
현대모비스,2,0,2,35,0.714,0.697
메타,2,1,1,27,1.429,0.26
아이폰,2,0,2,114,2.571,-0.219
노트북,2,0,2,117,2.714,-0.27
폴더블,2,2,0,115,3.0,-0.366
구글,2,5,-3,83,4.714,-0.856
tv,2,8,-6,343,10.714,-2.039
터치id,1,0,1,3,0.286,0.465
샤오미,1,1,0,13,0.429,0.345
애플워치,1,0,1,4,0.429,0.345
카카오,1,0,1,10,0.571,0.244
sk하이닉스,1,3,-2,70,1.429,-0.195
모바일,1,1,0,62,1.714,-0.309
vr,1,1,0,55,2.143,-0.464
lg전자,1,1,0,218,2.571,-0.604
tcl,1,1,0,58,2.857,-0.69
xr,1,5,-4,115,3.571,-0.89
lg디스플레이,1,4,-3,139,3.857,-0.964
스마트폰,1,4,-3,98,4.143,-1.035
lg화학,1,11,-10,39,5.571,-1.36
디스플레이,1,9,-8,206,5.714,-1.39
