term,cur,diff,z_like
모니터,53,52,11.21
삼성전자,76,47,7.63
lg전자,26,19,3.14
올레드,6,6,2.67
게이밍모니터,5,5,2.32
서피스,5,5,2.32
공급망,8,4,2.09
oled,12,8,1.85
메타,5,3,1.74
