term,cur,prev,diff,total,ma7,z_like
레노버,14,3,11,93,6.714,2.029
하이센스,4,0,4,11,0.571,1.953
apple,3,0,3,8,0.429,1.554
구글,7,2,5,92,2.857,1.54
올레드,2,0,2,11,0.286,1.117
아마존,3,0,3,14,0.857,1.113
맥북,3,1,2,19,0.857,1.113
고효율,3,2,1,10,1.143,0.898
고휘도,1,0,1,1,0.143,0.622
올레드tv,1,0,1,1,0.143,0.622
8k,1,0,1,2,0.143,0.622
필립스,1,0,1,2,0.143,0.622
애플워치,1,0,1,6,0.143,0.622
저전력,1,0,1,3,0.429,0.345
태블릿,1,0,1,10,0.429,0.345
현대모비스,1,1,0,6,0.571,0.244
아이패드,1,0,1,7,0.571,0.244
소니,1,0,1,11,0.571,0.244
boe,2,1,1,20,1.571,0.19
퀄컴,1,0,1,21,0.714,0.155
amd,2,0,2,15,1.857,0.06
xr,2,2,0,73,2.286,-0.114
카카오,1,0,1,45,1.286,-0.134
모니터,3,3,0,158,3.857,-0.289
디스플레이,7,3,4,195,8.286,-0.331
삼성디스플레이,1,1,0,74,2.857,-0.69
노트북,4,1,3,113,6.857,-0.79
tcl,1,0,1,58,4.571,-1.138
