term,cur,prev,diff,ma7,z_like,total
맥북,21,9,12,4.714,5.135,56
hp,15,1,14,3.0,4.392,64
잉크젯,10,0,10,1.571,3.74,11
고해상도,9,0,9,1.286,3.615,9
애플,25,19,6,10.571,3.394,213
롤러블,4,0,4,0.571,1.953,4
노트북,8,7,1,4.0,1.333,114
ar,3,1,2,0.714,1.239,37
기아,2,0,2,0.286,1.117,9
소니,2,0,2,0.286,1.117,12
고성능,3,0,3,0.857,1.113,16
레노버,8,20,-12,4.857,0.981,48
vr,2,0,2,0.429,0.95,18
모바일,5,4,1,2.571,0.933,44
tv,11,6,5,7.857,0.826,295
공급망,2,0,2,0.571,0.814,19
디스플레이,13,10,3,9.714,0.798,288
아이폰,4,4,0,2.143,0.754,62
auo,1,0,1,0.143,0.622,1
macbook,1,0,1,0.143,0.622,1
리벨리온,1,0,1,0.143,0.622,1
세미파이브,1,0,1,0.143,0.622,3
xr,5,8,-3,3.286,0.609,90
카카오,2,0,2,0.857,0.593,46
오포,1,0,1,0.286,0.465,5
boe,1,0,1,0.429,0.345,44
한화시스템,1,2,-1,0.429,0.345,8
화웨이,2,1,1,1.286,0.335,10
스마트폰,7,6,1,5.857,0.334,90
엔비디아,4,2,2,3.143,0.309,113
lg전자,7,1,6,6.0,0.29,229
asus,1,0,1,0.571,0.244,11
메타,1,2,-1,0.571,0.244,19
아이패드,1,2,-1,0.571,0.244,12
tcl,1,2,-1,0.857,0.074,56
폴더블,2,3,-1,1.857,0.06,56
amd,1,5,-4,1.0,0.0,19
sk하이닉스,2,6,-4,2.143,-0.058,60
벤큐,1,5,-4,1.286,-0.134,14
oled,18,30,-12,19.714,-0.315,346
구글,1,0,1,2.143,-0.464,60
모니터,3,5,-2,4.714,-0.541,110
퀄컴,1,2,-1,3.286,-0.813,35
삼성전자,11,12,-1,17.286,-1.219,411
샤오미,1,4,-3,5.0,-1.236,40
lg디스플레이,1,1,0,5.429,-1.33,108
갤럭시,4,8,-4,14.0,-2.109,229
