term,cur,prev,diff,ma7,z_like,total
xr,11,6,5,3.571,2.571,65
태블릿,5,1,4,1.143,1.864,19
한미반도체,2,0,2,0.286,1.117,4
폴더블,5,2,3,2.429,1.005,53
한화솔루션,2,0,2,0.429,0.95,3
갤럭시,5,0,5,2.571,0.933,92
엔비디아,4,0,4,2.0,0.828,70
boe,3,6,-3,1.571,0.634,23
dell,1,0,1,0.143,0.622,1
도우인시스,1,0,1,0.143,0.622,3
딥엑스,1,0,1,0.143,0.622,2
원익ips,1,0,1,0.143,0.622,2
선익시스템,4,11,-7,2.571,0.549,25
레노버,1,0,1,0.286,0.465,88
아마존,1,0,1,0.286,0.465,9
아이패드,1,0,1,0.286,0.465,6
증착기,1,0,1,0.286,0.465,4
애플,6,4,2,4.857,0.357,173
asus,1,0,1,0.429,0.345,17
사이니지,1,0,1,0.429,0.345,20
sharp,1,1,0,0.429,0.345,5
모니터,2,0,2,1.429,0.26,101
ar,2,3,-1,1.429,0.26,37
현대모비스,5,1,4,4.286,0.233,57
hp,3,2,1,2.429,0.223,78
sk하이닉스,2,1,1,1.571,0.19,58
스마트폰,2,3,-1,1.857,0.06,104
양산,2,5,-3,1.857,0.06,60
모바일,1,0,1,1.0,0.0,31
구글,1,3,-2,1.286,-0.134,65
소니,1,4,-3,1.286,-0.134,88
아이폰,2,1,1,2.571,-0.219,65
노트북,2,2,0,2.857,-0.319,131
lg디스플레이,2,0,2,3.0,-0.366,110
삼성전자,12,29,-17,14.143,-0.45,419
oled,3,3,0,5.286,-0.693,322
tv,3,13,-10,9.571,-1.605,409
디스플레이,2,3,-1,10.429,-1.993,242
lg전자,3,4,-1,12.714,-2.128,333
