term,cur,prev,diff,ma7,z_like,total,date
기아,9,2,7,2.571,2.469,30,2025-11-22
삼성전자,28,28,0,18.143,1.874,543,2025-11-22
갤럭시,3,2,1,1.429,0.716,89,2025-11-22
삼성디스플레이,12,12,0,9.286,0.671,105,2025-11-22
capex,1,0,1,0.143,0.622,1,2025-11-22
tsmc,1,0,1,0.143,0.622,10,2025-11-22
노키아,1,0,1,0.143,0.622,2,2025-11-22
벤큐,1,0,1,0.143,0.622,4,2025-11-22
잉크젯,1,0,1,0.143,0.622,2,2025-11-22
필립스,1,0,1,0.143,0.622,4,2025-11-22
고성능,2,4,-2,1.0,0.5,30,2025-11-22
ar,1,0,1,0.286,0.465,35,2025-11-22
vr,1,0,1,0.286,0.465,11,2025-11-22
샤오미,1,0,1,0.286,0.465,28,2025-11-22
퀀텀닷,1,0,1,0.286,0.465,2,2025-11-22
boe,3,4,-1,2.143,0.348,34,2025-11-22
4k,1,0,1,0.429,0.345,8,2025-11-22
sharp,1,0,1,0.429,0.345,12,2025-11-22
메타,1,0,1,0.429,0.345,14,2025-11-22
저전력,1,0,1,0.429,0.345,7,2025-11-22
모바일,2,0,2,1.286,0.335,45,2025-11-22
구글,2,2,0,1.286,0.335,33,2025-11-22
amd,1,0,1,0.714,0.155,50,2025-11-22
asus,1,0,1,0.714,0.155,18,2025-11-22
태블릿,1,2,-1,0.714,0.155,23,2025-11-22
인텔,2,0,2,1.714,0.124,68,2025-11-22
xr,3,8,-5,2.714,0.108,114,2025-11-22
nvidia,1,1,0,1.0,0.0,23,2025-11-22
sk하이닉스,2,2,0,2.143,-0.058,50,2025-11-22
양산,1,1,0,1.143,-0.069,18,2025-11-22
벤츠,5,0,5,5.286,-0.087,154,2025-11-22
tv,5,7,-2,5.857,-0.251,221,2025-11-22
lg전자,5,14,-9,6.143,-0.329,194,2025-11-22
모니터,2,0,2,3.0,-0.366,112,2025-11-22
스마트폰,1,3,-2,2.143,-0.464,76,2025-11-22
노트북,2,3,-1,3.429,-0.501,104,2025-11-22
애플,3,3,0,5.286,-0.693,227,2025-11-22
폴더블,1,12,-11,3.143,-0.773,86,2025-11-22
lg디스플레이,4,8,-4,6.857,-0.79,118,2025-11-22
디스플레이,5,12,-7,9.714,-1.145,197,2025-11-22
엔비디아,3,16,-13,8.857,-1.473,239,2025-11-22
oled,6,22,-16,14.143,-1.71,283,2025-11-22
구글,3,2,1,1.571,0.634,36,2025-11-23
니트,1,0,1,0.143,0.622,3,2025-11-23
비전프로,1,0,1,0.143,0.622,2,2025-11-23
lg화학,1,0,1,0.286,0.465,18,2025-11-23
공급망,1,0,1,0.286,0.465,31,2025-11-23
tsmc,1,1,0,0.286,0.465,11,2025-11-23
아마존,1,0,1,0.429,0.345,27,2025-11-23
고성능,2,2,0,1.286,0.335,32,2025-11-23
모바일,2,2,0,1.286,0.335,47,2025-11-23
아이폰,3,0,3,2.286,0.284,70,2025-11-23
기아,3,9,-6,2.857,0.053,33,2025-11-23
애플,4,3,1,4.286,-0.093,225,2025-11-23
boe,2,3,-1,2.429,-0.168,35,2025-11-23
갤럭시,1,3,-2,1.429,-0.195,88,2025-11-23
xr,2,3,-1,2.714,-0.27,112,2025-11-23
노트북,2,2,0,3.571,-0.544,102,2025-11-23
tv,3,5,-2,4.857,-0.58,216,2025-11-23
lg전자,3,5,-2,6.143,-0.904,192,2025-11-23
벤츠,1,5,-4,5.0,-1.236,155,2025-11-23
엔비디아,2,3,-1,9.143,-1.775,241,2025-11-23
삼성디스플레이,1,12,-11,9.143,-2.024,104,2025-11-23
삼성전자,5,28,-23,18.429,-2.537,536,2025-11-23
ppi,3,0,3,0.429,1.554,3,2025-11-24
lg전자,13,3,10,8.0,1.306,204,2025-11-24
ar,2,0,2,0.571,0.814,31,2025-11-24
메타,2,0,2,0.714,0.697,14,2025-11-24
미디어텍,1,0,1,0.143,0.622,1,2025-11-24
세미파이브,1,0,1,0.143,0.622,2,2025-11-24
삼성전자,20,5,15,17.143,0.556,518,2025-11-24
애플,5,4,1,3.714,0.439,188,2025-11-24
공급망,1,1,0,0.429,0.345,32,2025-11-24
퀄컴,3,0,3,2.429,0.223,42,2025-11-24
현대모비스,1,0,1,0.714,0.155,41,2025-11-24
모바일,1,2,-1,1.143,-0.069,47,2025-11-24
고성능,1,2,-1,1.429,-0.195,19,2025-11-24
구글,1,3,-2,1.429,-0.195,35,2025-11-24
아이폰,1,3,-2,2.429,-0.558,62,2025-11-24
xr,1,2,-1,2.714,-0.648,98,2025-11-24
모니터,1,0,1,2.857,-0.69,92,2025-11-24
노트북,1,2,-1,3.429,-0.852,100,2025-11-24
tv,1,3,-2,4.857,-1.204,213,2025-11-24
엔비디아,3,2,1,9.429,-1.579,244,2025-11-24
삼성디스플레이,2,1,1,9.429,-1.825,105,2025-11-24
디스플레이,24,0,24,8.857,3.808,214,2025-11-25
애플,15,5,10,5.0,3.09,200,2025-11-25
마이크로소프트,5,0,5,0.714,2.323,7,2025-11-25
tv,11,1,10,5.714,1.559,224,2025-11-25
kaist,3,0,3,0.429,1.554,13,2025-11-25
apple,2,0,2,0.286,1.117,3,2025-11-25
ar,3,2,1,1.0,1.0,34,2025-11-25
vr,2,0,2,0.429,0.95,12,2025-11-25
화웨이,2,0,2,0.429,0.95,11,2025-11-25
4k,2,0,2,0.571,0.814,10,2025-11-25
공급망,2,1,1,0.571,0.814,34,2025-11-25
xr,5,1,4,3.0,0.732,103,2025-11-25
asus,2,0,2,0.714,0.697,18,2025-11-25
fhd,1,0,1,0.143,0.622,2,2025-11-25
fmm,1,0,1,0.143,0.622,2,2025-11-25
뷰소닉,1,0,1,0.143,0.622,7,2025-11-25
선익시스템,1,0,1,0.143,0.622,3,2025-11-25
알파벳,1,0,1,0.143,0.622,11,2025-11-25
증착기,1,0,1,0.143,0.622,1,2025-11-25
롤러블,1,0,1,0.286,0.465,3,2025-11-25
맥북,1,0,1,0.286,0.465,29,2025-11-25
tsmc,1,0,1,0.429,0.345,10,2025-11-25
저전력,1,0,1,0.571,0.244,8,2025-11-25
ppi,1,3,-2,0.571,0.244,4,2025-11-25
인텔,2,0,2,1.571,0.19,68,2025-11-25
레노버,1,0,1,0.857,0.074,74,2025-11-25
현대모비스,1,1,0,0.857,0.074,42,2025-11-25
메타,1,2,-1,0.857,0.074,15,2025-11-25
노트북,3,1,2,2.857,0.053,103,2025-11-25
아이폰,2,1,1,2.0,0.0,63,2025-11-25
lg전자,9,13,-4,9.0,0.0,211,2025-11-25
양산,1,0,1,1.143,-0.069,17,2025-11-25
모바일,1,1,0,1.143,-0.069,47,2025-11-25
모니터,3,1,2,3.286,-0.102,95,2025-11-25
폴더블,3,0,3,3.429,-0.15,73,2025-11-25
구글,1,1,0,1.429,-0.195,35,2025-11-25
갤럭시,1,0,1,1.571,-0.254,81,2025-11-25
스마트폰,1,0,1,1.571,-0.254,74,2025-11-25
lg디스플레이,2,0,2,3.286,-0.457,116,2025-11-25
boe,1,0,1,2.571,-0.604,36,2025-11-25
oled,7,0,7,10.857,-0.898,253,2025-11-25
삼성전자,12,20,-8,17.0,-0.976,530,2025-11-25
엔비디아,2,3,-1,6.714,-1.313,246,2025-11-25
삼성디스플레이,1,2,-1,9.429,-2.071,106,2025-11-25
애플,17,15,2,7.143,2.684,206,2025-11-26
삼성전자,31,12,19,19.714,2.075,501,2025-11-26
아이폰,7,2,5,2.714,1.619,70,2025-11-26
스마트폰,5,1,4,1.714,1.423,77,2025-11-26
oled,17,7,10,12.0,1.12,264,2025-11-26
tsmc,3,1,2,0.857,1.113,10,2025-11-26
양산,3,1,2,0.857,1.113,20,2025-11-26
아이패드,2,0,2,0.429,0.95,12,2025-11-26
인텔,3,2,1,1.286,0.803,70,2025-11-26
레노버,2,1,1,0.714,0.697,76,2025-11-26
bmw,1,0,1,0.143,0.622,16,2025-11-26
udc,1,0,1,0.143,0.622,2,2025-11-26
갤럭시북,1,0,1,0.143,0.622,4,2025-11-26
구글,3,1,2,1.714,0.557,34,2025-11-26
sharp,1,0,1,0.286,0.465,10,2025-11-26
fmm,1,1,0,0.286,0.465,3,2025-11-26
증착기,1,1,0,0.286,0.465,2,2025-11-26
현대모비스,2,1,1,1.143,0.414,44,2025-11-26
hp,1,0,1,0.429,0.345,15,2025-11-26
lcd,1,0,1,0.429,0.345,16,2025-11-26
lg화학,1,0,1,0.429,0.345,16,2025-11-26
삼성디스플레이,12,1,11,10.857,0.266,116,2025-11-26
kaist,1,3,-2,0.571,0.244,14,2025-11-26
amd,1,0,1,0.714,0.155,33,2025-11-26
ppi,1,1,0,0.714,0.155,5,2025-11-26
asus,1,2,-1,0.714,0.155,19,2025-11-26
sk하이닉스,1,0,1,0.857,0.074,37,2025-11-26
마이크로소프트,1,5,-4,0.857,0.074,8,2025-11-26
모니터,3,3,0,3.143,-0.052,94,2025-11-26
모바일,1,1,0,1.143,-0.069,47,2025-11-26
lg디스플레이,2,2,0,2.286,-0.114,118,2025-11-26
노트북,2,3,-1,2.286,-0.114,100,2025-11-26
고성능,1,0,1,1.571,-0.254,20,2025-11-26
tv,5,11,-6,6.0,-0.29,218,2025-11-26
xr,2,5,-3,3.0,-0.366,97,2025-11-26
기아,1,0,1,2.143,-0.464,34,2025-11-26
boe,1,1,0,2.714,-0.648,37,2025-11-26
엔비디아,3,2,1,5.143,-0.656,248,2025-11-26
디스플레이,5,24,-19,8.429,-0.878,205,2025-11-26
폴더블,1,3,-2,3.571,-0.89,74,2025-11-26
lg전자,3,9,-6,9.0,-1.5,197,2025-11-26
hp,5,1,4,1.143,1.864,19,2025-11-27
sk하이닉스,5,1,4,1.429,1.627,41,2025-11-27
스마트폰,6,5,1,2.286,1.479,82,2025-11-27
아이폰,8,7,1,3.714,1.464,78,2025-11-27
현대모비스,4,2,2,1.143,1.381,48,2025-11-27
폴더블,7,1,6,3.429,1.252,80,2025-11-27
화웨이,3,0,3,0.714,1.239,12,2025-11-27
8k,2,0,2,0.286,1.117,4,2025-11-27
공급망,3,0,3,1.0,1.0,34,2025-11-27
애플,12,17,-5,8.429,0.915,215,2025-11-27
구글,4,3,1,2.286,0.682,37,2025-11-27
byd,1,0,1,0.143,0.622,13,2025-11-27
ltpo,1,0,1,0.143,0.622,1,2025-11-27
qled,1,0,1,0.143,0.622,5,2025-11-27
비보북,1,0,1,0.143,0.622,1,2025-11-27
수율,1,0,1,0.143,0.622,3,2025-11-27
하이센스,1,0,1,0.143,0.622,4,2025-11-27
lcd,1,1,0,0.286,0.465,17,2025-11-27
xr,5,2,3,3.714,0.439,97,2025-11-27
ar,2,0,2,1.143,0.414,36,2025-11-27
저전력,1,0,1,0.429,0.345,9,2025-11-27
vr,1,0,1,0.571,0.244,13,2025-11-27
아이패드,1,2,-1,0.571,0.244,12,2025-11-27
boe,2,1,1,1.857,0.06,39,2025-11-27
