org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,11,11.4582,0.0355,0.5080,11.4582
AMD,1,9.2071,0.0288,0.4082,9.2071
AMD,9,8.5936,0.0227,0.3810,8.5936
AMD,6,8.4398,0.0325,0.3742,8.4398
AMD,10,6.6670,0.0196,0.2956,6.6670
AMD,13,6.1380,0.0201,0.2721,6.1380
AMD,3,3.9063,0.0156,0.1732,3.9063
AMD,7,3.9063,0.0240,0.1732,3.9063
AMD,0,3.0690,0.0151,0.1361,3.0690
AMD,5,3.0151,0.0114,0.1337,3.0151
AMD,12,3.0151,0.0107,0.1337,3.0151
AMD,4,2.1484,0.0075,0.0952,2.1484
AMD,8,1.4089,0.0066,0.0625,1.4089
AMD,2,0.8967,0.0059,0.0398,0.8967
BOE,10,25.1864,0.0741,0.5444,25.1864
BOE,12,19.5981,0.0695,0.4236,19.5981
BOE,6,14.5778,0.0562,0.3151,14.5778
BOE,8,12.6800,0.0592,0.2741,12.6800
BOE,13,12.2761,0.0402,0.2654,12.2761
BOE,9,11.4582,0.0303,0.2477,11.4582
BOE,1,9.9743,0.0312,0.2156,9.9743
BOE,4,9.3098,0.0324,0.2012,9.3098
BOE,11,8.5936,0.0266,0.1858,8.5936
BOE,5,8.2915,0.0313,0.1792,8.2915
BOE,2,7.1740,0.0473,0.1551,7.1740
BOE,3,7.0313,0.0280,0.1520,7.0313
BOE,7,4.6875,0.0288,0.1013,4.6875
BOE,0,3.8363,0.0189,0.0829,3.8363
CES,5,1.5075,0.0057,0.6110,1.5075
CES,10,1.4816,0.0044,0.6005,1.4816
CES,3,0.7813,0.0031,0.3167,0.7813
CES,9,0.7161,0.0019,0.2903,0.7161
CES,8,0.7044,0.0033,0.2855,0.7044
CSOT,10,8.8893,0.0261,0.6256,8.8893
CSOT,12,7.5377,0.0267,0.5305,7.5377
CSOT,1,4.6035,0.0144,0.3240,4.6035
CSOT,9,4.2968,0.0114,0.3024,4.2968
CSOT,8,2.8178,0.0132,0.1983,2.8178
CSOT,13,2.3018,0.0075,0.1620,2.3018
CSOT,4,2.1484,0.0075,0.1512,2.1484
CSOT,3,1.5625,0.0062,0.1100,1.5625
CSOT,5,1.5075,0.0057,0.1061,1.5075
